毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间
12.01%,1.60亿,13.85,6424万,28.48亿,3.057元,26.99,http://quote.eastmoney.com/sz002623.html,611.26%,0.496,52.83%,1.60亿,002623,亚玛顿,2.97%,28.56亿,1.29,5.17%,12.99亿,2011-10-13
59.63%,4.87亿,6.416,13.17亿,161.9亿,3.097元,19.24,http://quote.eastmoney.com/sz002624.html,22.18%,1.295,41.16%,13.15亿,002624,完美世界,15.63%,436.8亿,5.18,24.91%,55.13亿,2011-10-28
31.71%,4.27亿,3.523,3304万,54.91亿,0.149元,310.36,http://quote.eastmoney.com/sz002625.html,-55.00%,0.031,9.29%,21.55亿,002625,光启技术,0.44%,277.1亿,3.65,12.14%,2.77亿,2011-11-03
54.46%,6.00亿,4.878,6.51亿,86.18亿,2.073元,9.75,http://quote.eastmoney.com/sz002626.html,170.88%,1.104,34.96%,6.16亿,002626,金达威,23.39%,88.53亿,2.94,31.15%,20.79亿,2011-10-28
12.55%,2.77亿,6.599,8446万,21.08亿,1.519元,18.14,http://quote.eastmoney.com/sz002627.html,-11.66%,0.314,42.75%,3.15亿,002627,宜昌交运,4.15%,23.92亿,1.15,5.40%,16.54亿,2011-11-03
1.24%,3.45亿,0.102,-2117万,14.82亿,0.289元,-,http://quote.eastmoney.com/sz002629.html,-78.56%,-1.536,30.74%,4.12亿,002629,仁智股份,-3.19%,17.71亿,42.31,-1.00%,25.29亿,2011-11-03
19.63%,9.70亿,2.779,1.11亿,40.76亿,1.043元,85.33,http://quote.eastmoney.com/sz002630.html,0.23%,0.037,78.19%,11.81亿,002630,华西能源,3.35%,49.59亿,1.51,3.28%,34.25亿,2011-11-11
33.14%,6.47亿,2.483,1.27亿,52.66亿,1.203元,39.56,http://quote.eastmoney.com/sz002631.html,1.14%,0.154,24.31%,6.68亿,002631,德尔未来,7.76%,54.36亿,3.28,9.57%,12.74亿,2011-11-11
38.35%,5.72亿,3.246,1.67亿,51.11亿,0.793元,17.51,http://quote.eastmoney.com/sz002632.html,101.26%,0.383,12.07%,6.26亿,002632,道明光学,8.81%,56.00亿,2.75,19.38%,8.64亿,2011-11-22
25.16%,1.49亿,3.506,-117.4万,14.09亿,0.315元,210.10,http://quote.eastmoney.com/sz002633.html,-277.51%,0.034,15.34%,1.50亿,002633,申科股份,-0.23%,14.17亿,2.70,-1.09%,1.08亿,2011-11-22
26.56%,2.70亿,1.488,2503万,14.37亿,0.400元,101.31,http://quote.eastmoney.com/sz002634.html,-32.54%,0.039,27.85%,4.61亿,002634,棒杰股份,3.61%,24.53亿,3.58,9.53%,2.99亿,2011-12-05
31.43%,3.66亿,9.457,4.26亿,57.94亿,1.991元,15.09,http://quote.eastmoney.com/sz002635.html,23.93%,0.784,21.63%,7.35亿,002635,安洁科技,6.25%,116.4亿,1.67,16.91%,25.04亿,2011-11-25
17.89%,2.46亿,3.469,2.37亿,24.15亿,2.025元,17.75,http://quote.eastmoney.com/sz002636.html,-40.21%,0.414,41.49%,7.28亿,002636,金安国纪,10.11%,71.34亿,2.83,8.46%,28.47亿,2011-11-25
