序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价
1811,HK0763,中兴通讯,14.64,-3.68,-0.56,2.77,2094.30万,7.32,15.200,15.340,15.420,14.380
1812,HK1315,允升国际,0.26,-3.70,-0.01,0.21,1269.20万,--,0.270,0.270,0.300,0.236
1813,HK0542,富元国际集团,0.26,-3.70,-0.01,0.00,12.40万,--,0.270,0.260,0.260,0.260
1814,HK2017,沧海控股,0.78,-3.70,-0.03,0.22,137.80万,4.68,0.810,0.790,0.820,0.760
1815,HK1006,长寿花食品,3.62,-3.72,-0.14,0.01,7.10万,5.86,3.760,3.720,3.750,3.620
1816,HK1533,庄园牧场,7.22,-3.73,-0.28,0.30,10.40万,18.05,7.500,7.320,7.400,7.200
1817,HK0703,FutureBright,1.03,-3.74,-0.04,0.01,3.60万,28.84,1.070,1.000,1.030,1.000
1818,HK0206,TSC集团,0.51,-3.77,-0.02,0.01,8.60万,--,0.530,0.510,0.510,0.510
1819,HK0860,力世纪,1.02,-3.77,-0.04,0.26,1511.20万,--,1.060,1.060,1.060,0.950
1820,HK0662,亚洲金融,4.79,-3.81,-0.19,0.01,7.20万,10.02,4.980,4.800,4.800,4.700
1821,HK0521,CWTInt'l,0.23,-3.85,-0.01,0.01,126.00万,12.57,0.234,0.228,0.228,0.222
1822,HK1676,中国升海食品,0.38,-3.85,-0.01,0.09,88.00万,3.85,0.390,0.375,0.385,0.375
1823,HK0646,中国环保科技,0.10,-3.85,-0.00,0.00,9.60万,--,0.104,0.100,0.100,0.100
1824,HK2956,ASIACOMMHOLD,0.50,-3.85,-0.02,0.00,11.35万,12.44,0.520,0.500,0.510,0.490
1825,HK1452,迪诺斯环保,0.38,-3.85,-0.01,0.06,30.90万,--,0.390,0.360,0.375,0.360
1826,HK1132,橙天嘉禾,0.49,-3.92,-0.02,0.22,614.00万,0.61,0.510,0.500,0.500,0.485
1827,HK1532,中国派对文化,0.49,-3.92,-0.02,0.00,3.60万,22.09,0.510,0.490,0.490,0.490
1828,HK1049,时富投资,0.22,-3.95,-0.01,0.01,10.09万,4.00,0.228,0.215,0.220,0.215
1829,HK0979,绿色能源科技集团,0.36,-3.95,-0.01,0.01,10.00万,--,0.380,0.380,0.380,0.365
1830,HK0147,国际商业结算,0.24,-4.00,-0.01,0.00,18.50万,--,0.250,0.240,0.240,0.240
1831,HK1739,齐屹科技,4.08,-4.00,-0.17,0.14,168.45万,--,4.250,4.210,4.210,3.930
1832,HK1420,川控股,0.36,-4.00,-0.01,0.01,12.00万,11.41,0.375,0.365,0.365,0.360
1833,HK2227,守益控股,0.71,-4.05,-0.03,0.06,49.20万,14.46,0.740,0.720,0.740,0.710
1834,HK1148,新晨动力,0.71,-4.05,-0.03,0.07,88.00万,5.92,0.740,0.730,0.730,0.700
1835,HK3363,正业国际,1.40,-4.11,-0.06,0.00,--,3.16,1.460,0,0,0
1836,HK1815,金猫银猫,1.40,-4.11,-0.06,0.15,160.87万,9.73,1.460,1.460,1.460,1.320
1837,HK0812,西证国际证券,0.16,-4.12,-0.01,0.08,185.20万,326.00,0.170,0.162,0.170,0.155
1838,HK1656,亿仕登控股,1.16,-4.13,-0.05,0.00,2000,3.68,1.210,1.140,1.140,1.140
1839,HK1551,广州农商银行,4.87,-4.13,-0.21,0.00,7.30万,6.45,5.080,4.600,5.000,4.600
1840,HK2377,博奇环保,1.62,-4.14,-0.07,0.02,20.30万,--,1.690,1.650,1.680,1.600
