,code,li_0_tmp,li_10_radio,li_10_tmp,li_5_radio,li_5_tmp,starttime
225,TGA,1.47,0.31224489795918375,1.929,0.10884353741496594,1.63,1523505600000.0
226,RESN,4.64,-0.2780172413793103,3.35,-0.02370689655172402,4.53,1519966800000.0
227,VRAY,8.88,0.40090090090090075,12.44,0.08671171171171166,9.65,1530763200000.0
228,NTRA,21.04,0.07414448669201532,22.6,0.07984790874524714,22.72,1530504000000.0
229,MARK,9.4,-0.19787234042553195,7.54,-0.09255319148936181,8.53,1520226000000.0
230,CRTO,27.61,-0.0456356392611372,26.35,-0.0257153205360377,26.9,1533182400000.0
231,CRTO,25.6,-0.0035156249999999944,25.51,0.010156249999999922,25.86,1513659600000.0
232,SSNC,58.62,-0.016376663254861836,57.66,-0.059194814056635944,55.15,1534910400000.0
233,RPD,29.37,0.06571331290432413,31.3,0.0898876404494381,32.01,1530504000000.0
234,RPD,33.31,-0.015310717502251728,32.8,0.0018012608826176873,33.37,1527652800000.0
235,GIII,46.79,-0.028852318871553782,45.44,-0.01837999572558238,45.93,1533614400000.0
236,VRTX,169.21,-0.09603451332663554,152.96,-0.017552154128006613,166.24,1516338000000.0
237,BIDU,268.68,-0.10570195027542059,240.28,0.040940896233437545,279.68,1525320000000.0
238,ICPT,108.45,0.05311203319502066,114.21,0.03088981097279847,111.8,1534478400000.0
239,ICPT,114.71,-0.098770813355418,103.38,-0.03521924853979594,110.67,1532923200000.0
240,ICPT,75.09,-0.12398455187108805,65.78,-0.017312558263417193,73.79,1522728000000.0
241,CSIQ,14.8,-0.009459459459459498,14.66,-0.03243243243243246,14.32,1534910400000.0
242,NBIX,88.87,-0.10791043096658043,79.28,-0.06233824687746153,83.33,1516338000000.0
243,NBIX,81.73,0.042334516089563116,85.19,-0.004404747338798476,81.37,1514437200000.0
244,INDY,37.47,-0.013877768881771979,36.95,-0.0008006405124099584,37.44,1532404800000.0
245,AUPH,5.66,-0.06360424028268556,5.3,0.05300353356890456,5.96,1515474000000.0
246,DSPG,12.35,0.04048582995951417,12.85,-0.016194331983805613,12.15,1533182400000.0
247,CROX,18.26,0.02190580503833508,18.66,0.04545454545454536,19.09,1527134400000.0
248,CROX,15.92,0.05590452261306525,16.81,0.0414572864321607,16.58,1521432000000.0
249,CROX,14.18,0.08674188998589566,15.41,0.0486600846262341,14.87,1519966800000.0
250,CYBR,69.02,0.05505650536076496,72.82,0.04013329469718937,71.79,1533096000000.0
251,DLTH,26.83,0.047335072679836124,28.1,0.08647036898993665,29.15,1533614400000.0
252,FINX,29.18,-0.014050719671007544,28.77,-0.031185743660041128,28.27,1534910400000.0
253,CARB,25.1,0.0199203187250996,25.6,0.007968127490039813,25.3,1513141200000.0
254,TCMD,49.63,0.13943179528510968,56.55,-0.0048357848075761024,49.39,1527048000000.0
255,HTGM,4.14,-0.033816425120772875,4.0,0.12318840579710162,4.65,1534996800000.0
256,CTMX,29.49,0.12037978975924045,33.04,0.09732112580535779,32.36,1519102800000.0
257,CTMX,24.92,0.03611556982343493,25.82,0.029293739967897144,25.65,1514869200000.0
258,XNCR,35.34,0.19949066213921893,42.39,0.035087719298245466,36.58,1526270400000.0
259,XENE,9.8,0.0459183673469387,10.25,-0.015306122448979626,9.65,1530072000000.0
260,XENE,6.45,0.31782945736434104,8.5,0.28682170542635665,8.3,1527652800000.0
261,EGHT,22.45,-0.0022271714922049313,22.4,0.0,22.45,1533614400000.0
262,APTI,28.9,0.035986159169550266,29.94,0.035294117647058934,29.92,1519189200000.0
263,BEAT,46.55,0.017185821697099986,47.35,-0.05048335123523082,44.2,1528862400000.0
264,BEAT,33.4,0.02245508982035928,34.15,0.04191616766467062,34.8,1515474000000.0
265,APRI,2.02,0.2623762376237623,2.55,0.07425742574257421,2.17,1513918800000.0
266,APRI,1.87,0.4627807486631014,2.7354,0.2352941176470588,2.31,1513746000000.0
267,NVCR,22.4,-0.078125,20.65,-0.011160714285714286,22.15,1516251600000.0
268,MANH,57.7,0.02443674176776424,59.11,-0.014038128249566764,56.89,1534824000000.0
269,ICLR,120.84,-0.01746110559417411,118.73,-0.02896391923204237,117.34,1523332800000.0
270,HDSN,1.91,-0.09424083769633505,1.73,-0.020942408376963255,1.87,1532923200000.0
271,KIN,12.85,0.06614785992217896,13.7,0.05447470817120631,13.55,1531368000000.0
272,KIN,9.25,-0.010810810810810773,9.15,-0.010810810810810773,9.15,1523246400000.0
273,BNFT,43.4,-0.0253456221198157,42.3,0.00806451612903229,43.75,1534910400000.0
274,PNQI,136.77,-0.03399868392191274,132.12,0.011771587336404073,138.38,1534478400000.0
275,OSPN,15.5,0.26451612903225813,19.6,0.0225806451612903,15.85,1524024000000.0
276,OSPN,13.75,-0.05818181818181823,12.95,-0.05454545454545454,13.0,1520485200000.0
277,EDIT,32.41,-0.01820425794507857,31.82,-0.07127429805615537,30.1,1536292800000.0
278,EDIT,34.32,-0.11480186480186484,30.38,-0.09178321678321674,31.17,1513918800000.0
279,CORE,33.14,0.04013277006638498,34.47,0.049788774894387405,34.79,1533614400000.0
280,CORE,22.57,0.05183872396987143,23.74,0.01860877270713328,22.99,1528948800000.0
281,XLNX,78.26,-0.011755686174290847,77.34,-0.0028111423460260524,78.04,1534910400000.0
282,XLNX,71.44,-0.04493281075027987,68.23,0.011618141097424388,72.27,1525665600000.0
283,BPMC,101.05,-0.064225630875804,94.56,-0.015141019297377548,99.52,1519966800000.0
284,GOOG,1126.79,0.02950860408771821,1160.04,-0.04248351511816744,1078.92,1518670800000.0
285,LOXO,133.45,-0.05650056200824273,125.91,-0.0029224428624952145,133.06,1523246400000.0
286,LOXO,86.14,0.031576503366612475,88.86,-0.014627350824239669,84.88,1513659600000.0
287,PDLI,2.5,0.016000000000000014,2.54,0.02400000000000002,2.56,1530244800000.0
288,RRD,8.96,-0.034598214285714336,8.65,-0.04129464285714297,8.59,1520913600000.0
289,CMCSA,32.72,-0.0437041564792176,31.29,-0.029645476772616104,31.75,1526011200000.0
290,LJPC,37.07,0.013757755597518155,37.58,-0.033180469382249715,35.84,1516251600000.0
291,OLED,125.3,0.018754988028731115,127.65,-0.006384676775738206,124.5,1534737600000.0
292,QQQ,186.74,-0.01183463639284571,184.53,-0.02640034272250191,181.81,1534910400000.0
293,ORLY,261.26,0.056150960728776,275.93,0.014468345709255261,265.04,1514869200000.0
294,AMAT,61.61,-0.10111994806037976,55.38,-0.03522155494237951,59.44,1519966800000.0
295,VYGR,28.75,-0.06469565217391303,26.89,0.04660869565217391,30.09,1518670800000.0
296,GOOGL,1264.65,-0.06524334796188667,1182.14,-0.06378049262641844,1183.99,1534910400000.0
297,PCTY,55.29,-0.020799421233496086,54.14,-0.04214143606438774,52.96,1520226000000.0
298,AAXJ,71.48,-0.048405148293228985,68.02,-0.0006994963626188746,71.43,1534478400000.0
299,AAXJ,78.69,-0.06328631338162415,73.71,-0.02401829965688144,76.8,1527652800000.0
300,CPRT,63.79,0.04169932591315259,66.45,0.017400846527669017,64.9,1534737600000.0
