code,name,pe,pb,eps,2014-12-31,2015-12-31,2016-12-31,2017-12-31
AMT,美国电塔,53.72914399999999,9.912979,2.64605,0.1981,0.1001,0.1202,0.154
AME,阿美特克,23.305613,4.030769,3.140016,0.1802,0.1816,0.1572,0.1691
AAPL,苹果,18.310670000000002,7.416598,10.455652,0.0,0.0,0.0,0.0
AON,怡安保险,24.004684,6.720263,6.0663160000000005,0.2158,0.2347,0.2585,0.2717
DG,美国达乐公司,16.608376,4.26457,5.984932,0.0,0.0,0.0,0.0
NOC,诺斯罗普格鲁曼,26.600016999999998,7.293253999999999,12.07518,0.286,0.3604,0.4183,0.2859
CCI,冠城,124.2298,3.5841190000000003,0.892459,0.0592,0.215,0.0472,0.0361
AAL,美国航空,10.263299,-17.190123999999997,3.6421040000000002,1.426,1.3505,0.707,0.4888
STT,道富银行,16.12815,1.778232,5.794217,0.0948,0.0937,0.1009,0.0975
NTRS,北方信托公司,19.408487,2.546081,5.448132,0.0961,0.1119,0.1056,0.1174
LUV,西南航空,8.812135000000001,3.207935,6.0393989999999995,0.1677,0.2964,0.2658,0.3344
FTI,FMC Technologies Inc,62.870514,1.0525149999999999,0.48766899999999996,0.101,0.0028,0.0736,0.01
ACN,埃森哲,26.406528,10.99183,6.364714,0.0,0.0,0.0,0.0
JNPR,瞻博网络,44.912490000000005,2.254914,0.621876,-0.0679,0.1386,0.1195,0.0654
RCL,皇家加勒比邮轮,14.385622,2.174787,7.6013399999999995,0.0922,0.0826,0.1407,0.1518
EMR,艾默生电气,24.762356,5.155283,2.805872,0.0,0.0,0.0,0.047
ADSK,欧特克,0.0,-232.709588,-2.370273,0.0,0.0,0.0,0.0
LNT,美国联合能源,20.692942000000002,2.345726,2.072204,0.1052,0.0963,0.0913,0.1043
DLR,Digital Realty Trust Inc,116.04174499999999,2.651636,0.9990370000000001,0.0519,0.0666,0.0842,0.0231
UHS,Universal Health Services Inc Cl,14.188294,2.080621,8.103159,0.1501,0.165,0.1621,0.1524
MTB,美国制商银行,19.072478,1.69028,8.834719999999999,0.0864,0.0668,0.0798,0.0866
HAL,哈里伯顿,0.0,4.718649,-0.442704,0.2148,-0.043,-0.6106,-0.0561
IT,加特纳,0.0,12.93162,-0.6179899999999999,1.1429,-1.3333,3.1867,0.0033
BA,波音,23.451709,170.140342,15.217654000000001,0.6196,0.8091,5.5815,19.8956
M,梅西百货,7.043365,1.9510669999999999,5.263109,0.0,0.0,0.0,0.0
EBAY,eBay,0.0,4.947645,-1.507595,0.0023,0.2623,0.6894,-0.126
