,code,name,201712,201709,201706,201703,pb,per,trade,201612
266,SZ002475,立讯精密, ,3.823707,5.636954,5.458056,5.307438,5.777,36.817,22.09
267,SZ002500,山西证券,4.419615,4.397709,4.336771,4.404643,4.340501,1.778,56.143,7.86
268,SZ002508,老板电器,5.543328,5.013604,4.629401,6.02994,5.655115,5.881,21.169,32.6
269,SZ002555,三七互娱, ,3.067771,2.894237,2.378015,2.168902,4.801,28.713,14.73
270,SZ002558,巨人网络, ,4.104997,3.912651,4.681522,4.480522,6.821,41.176,28.0
271,SZ002572,索菲亚,4.842166,4.484357,4.179487,8.588908,8.421648,6.651,33.592,32.92
272,SZ002594,比亚迪,18.733766,18.403581,17.897925,17.669688,17.396496,2.8529999999999998,38.179,53.45
273,SZ002601,龙蟒佰利,6.341563,6.602116,6.298308,6.353746,6.072283,2.9050000000000002,14.736,0.0
274,SZ002602,世纪华通, ,4.963176,4.871089,4.39116,4.269363,6.961,70.51,34.55
275,SZ002608,江苏国信, ,5.189285,5.017811,4.86855,4.758618,1.63,25.636,8.46
276,SZ002624,完美世界,6.057776,5.774163,5.953666,5.780933,5.487529,5.596,29.737,33.9
277,SZ002673,西部证券, ,5.010172,4.929352,4.505288,4.438469,1.8900000000000001,23.54,9.47
278,SZ002714,牧原股份,8.871164,8.393439,7.865202,6.134469,5.476632,5.673,23.741,50.33
279,SZ002736,国信证券, ,5.591941,5.376922,5.418835,5.273137,1.908,19.054,10.67
280,SZ002739,万达电影, ,9.805062,9.487197,9.361103,8.845111,5.307,44.723,0.0
281,SZ002797,第一创业,2.528917,2.515338,2.483208,3.966032,3.934628,3.057,64.417,7.73
282,SZ002831,裕同科技, ,11.724822,10.993191,11.087699,10.678715,4.281,20.654,50.19
