code,open,name,pe,pb,eps
NULG,37.26,NuShares ESG Large-Cap Growth ETF,0.0,0.0,0.0
NUEM,26.1122,NuShares ESG Emerging Markets Equity ETF,0.0,0.0,0.0
NTN,4.2,NTN Buzztime Inc,0.0,1.842168,-0.547634
NSAT,11.5,Norsat International Inc,20.535714,1.692124,0.56
NOM,12.3,Nuveen Missouri Premium Income M,78.654058,0.912037,0.156381
NANR,34.31,SPDR Index Shares Funds,0.0,0.0,0.0
MZA,13.1,BlackRock MuniYield Arizona Fund,20.375214,0.921708,0.642938
MXDU,29.58,Nationwide Maximum Diversification U.S. Core Equity ETF,0.0,0.0,0.0
MXDE,23.25,Nationwide Maximum Diversification Emerging Markets Core Equity ETF,0.0,0.0,0.0
MOC,2.8,Command Security Corp,0.0,1.779849,-0.079594
MMIT,24.63,IQ MacKay Shields Municipal Intermediate ETF,0.0,0.0,0.0
MMIN,24.71,IQ MacKay Shields Municipal Insured ETF,0.0,0.0,0.0
MLQD,47.45,iShares 5-10 Year Investment Grade Corporate Bond ETF,0.0,0.0,0.0
MLPZ,42.2301,UBS ETRACS 2xMonthly Leveraged S&P MLP Index,0.0,0.0,0.0
MHE,12.15,Massachusetts Health & Education,28.250887,0.90439,0.430075
MAB,12.46,Eaton Vance Massachusetts Muni,81.090224,0.851083,0.153656
LVUS,28.97,Hartford Multifactor Low Volatility US Equity ETF,0.0,0.0,0.0
LVIN,27.3799,Hartford Multifactor Low Volatility International Equity ETF,0.0,0.0,0.0
LVHI,27.35,Legg Mason International Low Volatility High Dividend ETF,0.0,0.0,0.0
LLQD,47.16,iShares 10+ Year Investment Grade Corporate Bond ETF,0.0,0.0,0.0
LGL,7.27,LGL Group Inc,54.856749,1.393422,0.132527
LEAD,34.8038,Reality Shares DIVCON Leaders Dividend ETF,0.0,0.0,0.0
LAQ,26.38,Aberdeen Latin America Equity Fund Inc,3.864731,0.904713,6.82583
KORP,48.68,American Century Diversified Corporate Bond ETF,0.0,0.0,0.0
KMED,24.86,KraneShares Emerging Markets Healthcare Index ETF,0.0,0.0,0.0
KLDX,2.16,Klondex Mines Ltd,21.6,1.366618,0.1
KIQ,0.5041,Kelso Technologies Inc,0.0,2.576938,-0.0573
KGRN,19.56,KraneShares MSCI China Environment Index ETF,0.0,0.0,0.0
KEMQ,22.19,KraneShares Emerging Markets Consumer Technology Index ETF,0.0,0.0,0.0
KCCB,40.04,KraneShares CCBS China Corporate High Yield Bond USD Index ETF,0.0,0.0,0.0
JPMB,46.38,JPMorgan USD Emerging Markets Sovereign Bond ETF,0.0,0.0,0.0
JPHY,49.9,JPMorgan Disciplined High Yield ETF,0.0,0.0,0.0
JPEU,59.29,J.P. Morgan Exchange-Traded Fund Trust,0.0,0.0,0.0
JPED,26.551,JPMorgan Event Driven ETF,0.0,0.0,0.0
JMBS,49.76,Janus Henderson Mortgage-Backed Securities ETF,0.0,0.0,0.0
ISL,18.68,Aberdeen Israel Fund Inc,4.809479,0.860157,3.883997
ISDR,15.4,Issuer Direct Corporation,26.574037,4.268398,0.579513
IPB,27.2246,Merrill Lynch Depositor Inc 6.05,0.0,0.000634,0.0
IOR,11.5431,Income Opportunity Realty Investors,41.088154,0.538816,0.280935
INDS,25.522,Pacer Benchmark Industrial Real Estate SCTR ETF,0.0,0.0,0.0
IHT,1.7,InnSuites Hospitality Trust,0.0,2.070234,-0.959834
IFRA,27.69,iShares U.S. Infrastructure ETF,0.0,0.0,0.0
IF,7.13,Aberdeen Indonesia Fund Inc,6.831661,0.861081,1.04367
IEME,27.443,iShares Evolved U.S. Media and Entertainment ETF,0.0,0.0,0.0
IEFN,25.48,iShares Evolved U.S. Financials ETF,0.0,0.0,0.0
IECS,25.57,iShares Evolved U.S. Consumer Staples ETF,0.0,0.0,0.0
ICOW,27.89,Pacer Developed Markets International Cash Cows 100 ETF,0.0,0.0,0.0
IBMM,25.04,iShares iBonds Dec 2024 Term Muni Bond ETF,0.0,0.0,0.0
IBML,24.855,iShares iBonds Dec 2023 Term Muni Bond ETF,0.0,0.0,0.0
IBDT,25.02,iShares iBonds Dec 2028 Term Corporate ETF,0.0,0.0,0.0
IBDS,23.5,iShares iBonds Dec 2027 Term Corporate ETF,0.0,0.0,0.0
IAUF,45.89,iShares Gold Strategy ETF,0.0,0.0,0.0
HYLV,24.3092,IQ S&P High Yield Low Volatility Bond ETF,0.0,0.0,0.0
HYGV,50.18,FlexShares High Yield Value-Scored Bond Index Fund,0.0,0.0,0.0
HTRB,38.99,Hartford Total Return Bond ETF,0.0,0.0,0.0
HTM,5.45,U.S. Geothermal Inc,0.0,1.013563,-0.11852
HTAB,19.83,Hartford Schroders Tax-Aware Bond ETF,0.0,0.0,0.0
HSRT,40.07,Hartford Funds Exchange-Traded Trust,0.0,0.0,0.0
HONR,25.2804, InsightShares Patriotic Employers ETF,0.0,0.0,0.0
HMOP,39.49, Hartford Municipal Opportunities ETF,0.0,0.0,0.0
HMG,15.35,HMG/Courtland Properties,3.241989,0.690208,4.734748
HGSD,26.77,WisdomTree Global Hedged SmallCap Dividend Fund,0.0,0.0,0.0
HDMV,33.84,First Trust Exchange -Traded Fund III,0.0,0.0,0.0
GUDB,48.68,Sage ESG Intermediate Credit ETF,0.0,0.0,0.0
GTO,51.669,Claymore Exchange-Traded Fund Trust 2,0.0,0.0,0.0
GSEU,31.19,Goldman Sachs ActiveBeta Europe Equity ETF,0.0,0.0,0.0
GSD,33.05,WisdomTree Global SmallCap Dividend Fund,0.0,0.0,0.0
GNAF,50.16,Bank of Montreal MicroSectors FANG Index Inverse,0.0,0.0,0.0
GMFL,28.4946,Guggenheim Multi-Factor Large Cap ETF,0.0,0.0,0.0
GLV,12.35,Clough Global Allocation Fund,22.639862,0.909739,0.545498
GIG,9.9,"GigCapital, Inc.",0.0,8.104623,-0.145298
GHYB,48.7245,Goldman Sachs Access High Yield Corporate Bond ETF,0.0,0.0,0.0
GGO,18.5,The Gabelli Go Anywhere Trust,0.0,0.0,0.0
GDVD,28.1397,Principal Active Global Dividend Income ETF,0.0,0.0,0.0
GARD,26.34,Reality Shares DIVCON Dividend Guard ETF,0.0,0.0,0.0
FUT,40.66,ProShares Managed Futures Strategy ETF,0.0,0.0,0.0
FNGZ,47.94,Bank of Montreal MicroSectors FANG Index 2X Inverse Leveraged,0.0,0.0,0.0
