code,exp2015,exp2016,exp2017,exp2018,income2015,income2016,income2017,income2018,net2015,net2016,net2017,net2018,sale2015,sale2016,sale2017,sale2018
AEIS,1424.20万_--,1076.50万_-24.41%,1250.30万_16.14%,1763.70万_41.06%,1.41亿_--,1.03亿_-26.95%,1.49亿_44.66%,1.96亿_31.54%,1424.20万_--,1076.50万_-24.41%,1250.30万_16.14%,1763.70万_41.06%,2364.50万_--,1907.40万_-19.33%,2306.00万_20.90%,2990.50万_29.68%
AEL,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AEM,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AEO,0_0,--_--,--_--,--_--,0_0,7.00亿_--,7.49亿_7.00%,7.62亿_1.74%,0_0,--_--,--_--,--_--,0_0,2.20亿_--,2.35亿_6.82%,2.35亿_0.00%
AEP,0_0,--_--,--_--,--_--,0_0,40.09亿_--,38.95亿_-2.84%,40.00亿_2.70%,0_0,--_--,--_--,--_--,0_0,4.97亿_--,4.82亿_-3.02%,5.40亿_12.03%
AER,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AERI,1161.80万_--,1230.90万_5.95%,1095.40万_-11.01%,1297.20万_18.42%,--_--,--_--,--_--,--_--,1161.80万_--,1230.90万_5.95%,1095.40万_-11.01%,1297.20万_18.42%,802.30万_--,980.10万_22.16%,1447.50万_47.69%,2782.30万_92.21%
AES,0_0,--_--,--_--,--_--,0_0,32.71亿_--,25.81亿_-21.09%,27.40亿_6.16%,0_0,--_--,--_--,--_--,0_0,4800.00万_--,5400.00万_12.50%,5600.00万_3.70%
AETI,13.80万_--,52.30万_278.99%,10.40万_-80.11%,4.30万_-58.65%,1531.10万_--,829.80万_-45.80%,803.00万_-3.23%,828.90万_3.23%,13.80万_--,52.30万_278.99%,10.40万_-80.11%,4.30万_-58.65%,187.00万_--,222.20万_18.82%,170.50万_-23.27%,180.50万_5.87%
AEZS,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AFB,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AFG,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AFI,--_--,--_--,--_--,--_--,2.59亿_--,2.84亿_9.65%,2.65亿_-6.69%,2.58亿_-2.64%,--_--,--_--,--_--,--_--,4490.00万_--,5180.00万_15.37%,5640.00万_8.88%,4820.00万_-14.54%
AFIN,0_0,0_0,--_--,--_--,0_0,0_0,--_--,--_--,0_0,0_0,--_--,--_--,0_0,0_0,484.40万_--,550.10万_13.56%
AFL,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AFMD,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AFSS,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AFT,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AG,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
