close,high,time,low,open,t,volumne
0.13069999999999998,0.13069999999999998,1537761600,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1537848000,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1537934400,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1538020800,0.13,0.13,362373,2780
0.13069999999999998,0.13069999999999998,1538107200,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1538366400,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1538452800,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1538539200,0.13069999999999998,0.13069999999999998,650,5
0.1206,0.142871,1538625600,0.12,0.13,1085025,8443
0.12,0.12,1538712000,0.12,0.12,180000,1500
0.12,0.12,1538971200,0.12,0.12,180000,1500
0.1005,0.11059999999999999,1539057600,0.1005,0.1018,1197180,11800
0.1005,0.1005,1539144000,0.1005,0.1005,0,0
0.0726,0.0726,1539230400,0.0726,0.0726,145200,2000
0.1,0.105,1539316800,0.0725,0.0943,392440,3810
0.1,0.1,1539576000,0.1,0.1,0,0
0.1,0.1,1539662400,0.1,0.1,10000,100
0.0402,0.095,1539748800,0.04,0.09,8395984,122697
0.040100000000000004,0.05,1539835200,0.04,0.05,1761831,42231
0.040100000000000004,0.040100000000000004,1539921600,0.040100000000000004,0.040100000000000004,0,0
0.040100000000000004,0.040100000000000004,1540180800,0.040100000000000004,0.040100000000000004,0,0
0.040100000000000004,0.040100000000000004,1540267200,0.040100000000000004,0.040100000000000004,0,0
0.040100000000000004,0.040100000000000004,1540353600,0.040100000000000004,0.040100000000000004,3215,46
0.040100000000000004,0.040100000000000004,1540440000,0.040100000000000004,0.040100000000000004,0,0
0.040100000000000004,0.040100000000000004,1540526400,0.040100000000000004,0.040100000000000004,0,4
0.040100000000000004,0.040100000000000004,1540785600,0.040100000000000004,0.040100000000000004,0,0
0.040100000000000004,0.040100000000000004,1540872000,0.040100000000000004,0.040100000000000004,0,0
0.040100000000000004,0.040100000000000004,1540958400,0.040100000000000004,0.040100000000000004,0,0
0.040100000000000004,0.040100000000000004,1541044800,0.040100000000000004,0.040100000000000004,280,4
0.040100000000000004,0.040100000000000004,1541131200,0.040100000000000004,0.040100000000000004,0,0
0.0701,0.0792,1541394000,0.0699,0.0699,628110,8800
0.0701,0.0701,1541480400,0.0701,0.0701,0,0
0.05,0.05,1541566800,0.05,0.05,209800,4196
0.05,0.05,1541653200,0.05,0.05,6500,178
0.05,0.05,1541739600,0.05,0.05,0,0
0.05,0.05,1541998800,0.05,0.05,0,0
0.05,0.05,1542085200,0.05,0.05,0,0
0.021,0.04,1542171600,0.021,0.04,122521,3544
0.030100000000000002,0.030100000000000002,1542258000,0.030100000000000002,0.030100000000000002,60200,2000
0.1,0.1,1542344400,0.08,0.08,1415520,14400
