code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,grow_3,grow_6,grow_radio_3,grow_radio_6,month_six_rs,price,vol_radio,volume_3,volume_6,year,year_rs
LFUS,美国力特保险丝,47.606666,3.736943,4.6004059999999996,42326000.0,-0.1298,252,0.6999999999999981,3.3900000000000006,0.004390267459610499,0.019171554675005777,0.22453127489731828,57.7881746031746,-0.3737216277054162,2871341.6666666665,4584769.0,21,0.186168946059346
ENTG,英特格,38.109278,4.506248,0.879051,54349000.0,0.359,219,-1.0666666666666675,-0.6833333333333348,-0.031199891247056955,-0.018762193780980714,0.5102051916942921,11.611872146118724,-0.15427342462377594,17415453.666666668,20592298.0,18,0.3662492217862687
STMP,Stamps.com Inc,23.052866,6.996239999999999,10.206974,45524000.0,0.4666,232,-7.783333333333341,4.949999999999998,-0.03036619428530138,0.026691920716521694,0.3803482302335078,42.28232758620688,-0.27472941331967693,4858091.333333333,6698315.666666667,19,0.32858530297905747
CSWI,"CSW Industrials, Inc.",0.0,3.2917449999999997,-0.5575979999999999,11676000.0,0.3714,37,2.1166666666666694,2.3333333333333357,0.04091345449767094,0.04838736691827003,0.09878116468059235,39.8835135135135,-0.021337897956644657,1140616.0,1165485.0,3,0.06771335500512508
MNDO,思维终端科技,8.451911,2.404934,0.266212,1160000.0,-0.3843,218,0.09333333333333327,0.03999999999999989,0.042780996638896195,0.018474400403350143,0.31276342441665916,2.608146788990827,-0.5239752972761778,442262.3333333333,929074.3333333334,18,0.25007890332141874
PRAH,PRA Health Sciences,59.259890000000006,7.158530000000001,1.7786060000000001,42282000.0,0.4257,47,6.276666666666666,5.0200000000000005,0.06465863495114228,0.054712437769457695,0.16756105150096934,59.01106382978724,-0.3411713978300476,10747096.333333334,16312431.333333334,3,0.13839267995956156
BRKS,布鲁克自动化,16.842496,2.9405360000000003,1.7604279999999999,22606000.0,0.3029,252,0.8333333333333321,1.2999999999999983,0.04011212200355188,0.057560602803546225,0.32566414946748423,17.74089285714287,0.027688587552712078,14117650.333333334,13737284.333333334,21,0.2716904192584341
SIRI,Sirius XM Holdings Inc.,38.246171000000004,-22.791432999999998,0.181979,292000000.0,0.4465,252,0.1466666666666662,0.1599999999999997,0.021407776583912158,0.025488322448926404,0.5754701635691158,8.174742063492065,-0.3914094406943143,225105664.33333334,369880309.3333333,21,0.4104719411791325
SNHY,Sun Hydraulics Corporation,43.145187,3.0729450000000003,1.133846,6796000.0,-0.067,252,1.8966666666666683,0.061666666666667425,0.03948831933849225,0.0031611911627821656,0.4360395036082641,18.266395634920634,-0.4078737094850619,1793335.0,3028636.0,21,0.35100997942636775
XLNX,赛灵思,33.994332,8.048903,2.170656,190000000.0,0.2086,252,4.533333333333327,1.0699999999999956,0.06710338322119819,0.01769342848024244,0.13710259286660814,36.07136904761906,-0.34533587774616403,36268843.0,55400688.333333336,21,0.1203471885482268
DHIL,Diamond Hill Investment Group,12.502422,2.9881439999999997,14.912310999999999,14898000.0,0.1489,252,-7.938333333333333,-5.614999999999999,-0.042240436232075074,-0.02920411617849202,0.34104055632965347,74.95390873015874,-0.3646793323926533,143481.66666666666,225841.33333333334,21,0.25295238277743853
XNET,迅雷,0.0,1.608635,-0.191451,699000.0,1.0722,52,-0.5200000000000001,-0.1416666666666669,-0.0505478984363657,-0.0059405692251813065,0.4612277101522721,7.949134615384614,-0.547839140736405,8516104.333333334,18834236.0,4,0.27221994843099556
NTES,网易,25.283143,4.2522199999999994,8.206653999999999,2263000000.0,-0.2442,216,-14.920000000000007,-12.600000000000014,-0.05569881646861816,-0.044541416049612426,0.2444759113621812,67.72224537037036,-0.2902130096362839,17280943.0,24346660.666666668,18,0.22850510979642782
CG,凯雷,12.537697999999999,3.7170160000000005,1.9182150000000002,241000000.0,0.0464,77,0.7166666666666673,0.3333333333333333,0.03633829132859637,0.017547150334743827,0.13478194808956165,24.08525974025974,-0.22730410494166464,9226415.0,11940551.333333334,6,0.11528239437269173
BCOR,Blucora,23.751688,2.6995869999999997,1.519892,35157000.0,9.1026,76,-0.9499999999999981,1.5500000000000018,-0.025795782399209988,0.06825166141115616,0.30562659011376003,18.02578947368421,-0.4402137526850908,5538169.666666667,9893365.0,6,0.21851024292099028
LMNX,路明克斯,36.699412,2.683045,0.762955,5669000.0,0.0225,223,0.23333333333333428,1.526666666666668,0.01694377946809174,0.07256367677985305,0.23246353483781965,17.073452914798203,-0.09605072717988249,6368614.0,7045322.333333333,18,0.1966255211752652
NURO,NeuroMetrix,0.0,1.190935,-1.582825,573900.0,1.1773,169,-0.020000000000000018,-0.03583333333333327,-0.011526254334724604,-0.02427236440899386,0.5689379502955693,202562.32064319524,-0.6208069995728208,1951092.3333333333,5145380.666666667,14,0.42458751712728415
ISRG,直觉外科公司,76.454235,10.510289,7.08293,255000000.0,0.1417,220,30.213333333333328,25.915000000000003,0.06013630705101628,0.055061077330751745,0.40893366501855716,111.79601727272725,-0.3654134602059735,11530547.0,18170172.666666668,18,0.3112577782878902
CCMP,卡伯特微电子,32.518051,4.463145,3.460232,35171000.0,0.7639,222,0.5999999999999991,0.18500000000000227,0.00922849351612474,0.005260992107486622,0.1881974499997474,45.90427927927927,0.15494717540916372,3468512.3333333335,3003178.3333333335,18,0.15647686515106599
DENN,Denny’s Corporation,22.850251999999998,-8.254188000000001,0.671765,11626000.0,0.3288,251,-0.45333333333333314,-0.168333333333333,-0.028078724941383987,-0.007117090081760452,0.831085897746596,5.1516135458167325,-0.2895843204056255,4169378.0,5868927.333333333,20,0.5292132264057453
CRZO,卡里索油气,166.54698,5.230903,0.146205,35309000.0,-0.3729,252,-1.2266666666666677,1.4433333333333334,-0.045412455064175274,0.08464181273480369,0.3550400029741046,22.740416666666658,-0.420043070771808,41224364.666666664,71081769.33333333,21,0.29543865588867163
TZOO,Travelzoo Inc,50.818412,9.120330000000001,0.253845,477000.0,-0.3057,194,-1.8333333333333333,0.7500000000000003,-0.11733589978751269,0.12794318578858677,0.7797720441939381,19.97399536082474,-0.18776739891519748,2382184.0,2932884.0,16,0.583365927113908
MSFT,微软,50.369946,10.049019,2.1520770000000002,8873000000.0,0.0996,252,5.600000000000004,4.135033333333337,0.054498711795098714,0.04181060398946159,0.15509761240821315,36.34269880952382,-0.30464150493263553,412236257.6666667,592839895.6666666,21,0.11820246619191034
LITE,Lumentum Holdings Inc.,16.793915,4.413816000000001,3.876404,33500000.0,1.6102,39,0.516666666666668,-0.7083333333333321,0.02048587599947048,0.0003472472655738958,0.2996445367095304,41.82333333333334,-0.21462847819012376,31105408.0,39605979.0,3,0.23163395781820084
CAMT,康特科技,16.575543,4.262417,0.628637,4331000.0,2.1171,219,0.4366666666666668,0.33166666666666683,0.06783220615337404,0.053559614699943504,0.6689013960168994,3.241292237442924,0.5265316687625274,3908032.0,2560072.6666666665,18,0.4698817510374362
MAR,万豪酒店,29.052719,15.036153,4.237469,610000000.0,0.2474,60,1.7600000000000051,-0.634999999999998,0.014027126367144913,-0.004056543114475445,0.09200005667387445,85.6685,-0.09541415059249755,37321355.333333336,41257947.333333336,5,0.07194216634544214
LHCG,LHC Group,40.012278,2.466025,2.4859869999999997,20656000.0,0.4554,160,3.499999999999995,5.6216666666666635,0.04155062751737171,0.07745551002085753,0.2923307946970512,31.497500000000013,-0.4280757738714332,3873398.0,6772572.0,13,0.22811817070841664
MDRX,麦赛斯医药,808.6709519999999,2.324647,0.018313999999999997,74272000.0,1.5193,231,0.8766666666666664,0.3683333333333332,0.07181294505116324,0.031456778616164895,0.3210353796269568,14.43690476190476,-0.32039143444157797,27074051.666666668,39837714.0,19,0.2629313008495134
FWRD,福沃运输,20.009745000000002,3.460925,3.193444,24298000.0,0.2355,252,2.9266666666666694,2.5066666666666677,0.04784967483527982,0.04358328314819116,0.19320913688855254,30.432459523809513,-0.38613942654686917,2457998.0,4004163.3333333335,21,0.15235740837747005
STRA,Strayer Education,102.374615,12.828259,1.328552,5188000.0,-0.4964,252,6.616666666666674,5.286666666666669,0.05503501434808398,0.04643515266348874,0.27076165331437796,90.3821757936508,0.07805466342239258,2271122.6666666665,2106686.0,21,0.2236071580262762
SWKS,思佳讯,18.558581,4.07639,5.010619999999999,287000000.0,0.1637,252,-2.776666666666666,-2.0433333333333317,-0.029665903882419936,-0.018442544781588775,0.31506794134636823,30.50796269841269,-0.25614265770444183,32435232.666666668,43604103.666666664,21,0.24953547942517895
WLFC,Willis Lease Finance Corporation,3.4170550000000004,0.8200569999999999,10.014472999999999,8359000.0,0.3955,252,0.8166666666666652,-0.053316666666667935,0.025933157567728234,-0.0009607882789828687,0.26560134119138246,13.850873015873015,-0.5401839094801282,191634.33333333334,416763.0,21,0.2095304255696111
SPRT,support.com,0.0,0.913377,-0.023471000000000002,396000.0,3.4,219,-0.0300000000000001,-0.005000000000000042,-0.010579769742968585,-0.0014248371473648044,0.2732679944835259,13.19232328767123,-0.45306899855744004,343247.3333333333,627588.0,18,0.22287461857340665
