code,name,pe,pb,eps,count,max,mean,min,volume_end,volume_start,year
AFK,Market Vectors-Africa ETF,0,0,0,122,40.64,26.88553279,16.52,515207.1803,451749.1803,10
SPTL,SPDR Barclays Long Term Treasury ETF,0,0,0,136,40.64,32.33883235,24.74,3338686.75,399002.9412,11
MSFG,MainSource Financial Group,23.633721,1.952933,1.72,252,40.65,16.3217373,4.78,958357.5635,316378.1429,21
DCO,杜科蒙,24.150754,1.782279,1.618169,252,40.69,20.32410079,8.8,1367153.492,649688.8889,21
WERN,沃纳企业公司,11.578597,2.158084,3.178278,252,40.7,20.10571508,6.936,16727366.79,10112273.6,21
MBT,移动电信,7.253512,4.071366,1.045011,219,40.71,13.72465068,2.2,55525232.31,66018522.94,18
EES,WisdomTree Trust SmallCap Earnin,0,0,0,139,40.71,21.60308993,7.0233,1247002.486,944152.1739,11
PXSG,PowerShares Exchange Traded Fund,9.192449,2.105243,4.330228,162,40.715,19.9447963,8.98,105987.8395,754775.3086,13
ALLK,Allakos Inc.,0,-24.256598,-12.135921,2,40.77,39.805,38.84,3913098,7725824,0
HUSE,US Market Rotation Strategy ETF,0,0,0,74,40.77,35.87608919,25.52,245117.1622,707691.8919,6
FTLS,First Trust Long/Short Equity ETF,0,0,0,48,40.79,34.46917917,29.73,482765.2917,418025.625,4
UA,安徳玛公司,0,4.558294,-0.359532,29,40.8,21.65482759,11.53,87969320.2,53367011.21,2
HEES,HE设备服务,9.799465,5.34602,3.506314,152,40.91,20.31625,5.14,5839295.303,3975110.526,12
OBNK,Origin Bancorp,33.632723,1.846115,1.209239,4,40.94,40.23,38.84,1379260.5,4052790.5,0
ALTS,ProShares Morningstar Alternatives Solution ETF,0,0,0,47,40.94,38.80235957,37.13,68805.5,190954.1739,3
LTBR,Lightbridge Corporation,0,0.994943,-0.874437,107,41,11.44740187,0.8901,6281043.407,261736.2264,8
VJET,Voxeljet AG,0,1.694205,-0.522286,59,41,9.519094915,2.69,1481206.933,9823542.655,4
KYN,KYN投资基金,9.311772,1.32385,2.064054,168,41.02,27.18720238,13.37,8489985.595,3482207.143,14
IPD,SPDR S&P International Consumer,0,0,0,122,41.04,32.23346148,15.21,61758.63934,92442.62295,10
FBMS,第一银行股份,27.675197,1.874231,1.481471,176,41.05,15.99750114,5.62,197449.7727,9976.136364,14
RINF,ProShares 30 Year TIPS/TSY Sprea,0,0,0,79,41.06,32.5955,26.8,310922.5,72217.94872,6
FCH,费尔科寄宿信托,0,5.831515,-0.4729,252,41.06,12.79015873,0.81,18559001.25,6595802.381,21
DEI,道格拉斯艾美特,56.456716,2.655332,0.681407,143,41.06,25.17090909,7.39,17384303.75,29449438.03,11
SHEN,Shenandoah Telecommunications Co,24.227974,4.479588,1.56018,252,41.08,10.20398135,1.4688,2619877.143,713657.1429,21
FMBH,First Mid-Illinois Bancshares Inc,17.448267,1.525572,2.352096,52,41.09,28.30346154,18.55,515598.6154,62083.42308,4
DRNA,"Dicerna Pharmaceuticals, Inc.",0,12.578363,-2.799115,56,41.12,11.29508929,2.49,6237122.071,3036765.214,4
HEAR,Parametric Sound Corp.,15.249889,73.778533,1.744275,53,41.12,10.4836,1.8016,10838022.63,794906.7692,4
