2018-11-05_code,2018-11-05_days,2018-11-06_code,2018-11-06_days,2018-11-08_code,2018-11-08_days,2018-11-11_code,2018-11-11_days,2018-11-15_code,2018-11-15_days,2018-11-16_code,2018-11-16_days,2018-11-17_code,2018-11-17_days,2018-11-18_code,2018-11-18_days,2018-11-20_code,2018-11-20_days,2018-11-21_code,2018-11-21_days,2018-11-26_code,2018-11-26_days,2018-11-27_code,2018-11-27_days,2018-11-28_code,2018-11-28_days,2018-11-30_code,2018-11-30_days,2018-12-02_code,2018-12-02_days,2018-12-04_code,2018-12-04_days,2018-12-05_code,2018-12-05_days,2018-12-08_code,2018-12-08_days,2018-12-17_code,2018-12-17_days,2018-12-19_code,2018-12-19_days,2018-12-20_code,2018-12-20_days,2018-12-21_code,2018-12-21_days,2018-12-22_code,2018-12-22_days,2018-12-23_code,2018-12-23_days,2018-12-31_code,2018-12-31_days,2019-02-04_code,2019-02-04_days,2019-02-07_code,2019-02-07_days,2019-02-08_code,2019-02-08_days
FFBC,1.0,CATY,2.0,ISBC,4.0,,,CPT,2.0,EQR,2.0,FTF,3.0,LQDT,4.0,,,,,,,,,,,SYNH,1.0,HAFC,0.0,FRBK,1.0,FPRX,4.0,GLNG,3.0,,,,,,,,,,,,,,,HVT,2.0,FDP,2,FMCI,4.0
ABCB,1.0,TRMK,2.0,WABC,4.0,,,O,0.0,OHI,4.0,,,CALX,3.0,,,,,,,,,,,TCPC,1.0,HBIO,0.0,FTA,1.0,FRBK,2.0,GPC,4.0,,,,,,,,,,,,,,,IFGL,2.0,FDRR,2,FNJN,4.0
CBSH,1.0,FFBC,2.0,BOKF,4.0,,,USRT,1.0,NYRT,0.0,,,OFG,3.0,,,,,,,,,,,TERP,0.0,HCSG,4.0,FTCS,1.0,FTA,2.0,HAFC,4.0,,,,,,,,,,,,,,,INFN,2.0,FGB,2,FSP,1.0
OCSL,1.0,TCBK,2.0,CVBF,4.0,,,RWR,1.0,EHC,4.0,,,AIF,3.0,,,,,,,,,,,THRM,1.0,ICLR,2.0,FTEC,1.0,FTCS,2.0,HBIO,4.0,,,,,,,,,,,,,,,ITG,3.0,FIXX,0,FTA,3.0
UCFC,1.0,HAFC,1.0,UCBI,4.0,,,FREL,1.0,FRT,3.0,,,XONE,2.0,,,,,,,,,,,VRNS,1.0,ICVT,0.0,GLNG,0.0,FTEC,2.0,HHC,3.0,,,,,,,,,,,,,,,JOE,1.0,FMCI,3,GNCA,1.0
OXSQ,1.0,NBTB,2.0,IBOC,4.0,,,RPT,2.0,IPG,2.0,,,MNK,4.0,,,,,,,,,,,VSM,1.0,INFY,0.0,GNMK,3.0,GLNG,1.0,IAE,3.0,,,,,,,,,,,,,,,JRO,0.0,FNJN,3,GPL,3.0
MRTN,1.0,PPBI,2.0,HOPE,2.0,,,EQR,0.0,HTA,3.0,,,BZQ,4.0,,,,,,,,,,,W,1.0,INSM,2.0,GPC,1.0,GNMK,4.0,ICVT,4.0,,,,,,,,,,,,,,,KTF,3.0,FNV,4,GPRK,4.0
AMBC,1.0,HFWA,2.0,GBCI,4.0,,,OHI,2.0,EXTN,3.0,,,STRA,4.0,,,,,,,,,,,WK,1.0,INSW,1.0,GT,3.0,GPC,2.0,INFY,4.0,,,,,,,,,,,,,,,KTOS,1.0,FSP,0,GSY,3.0
LPNT,1.0,MHLD,2.0,UBSI,4.0,,,NYRT,0.0,CIM,3.0,,,EXTN,3.0,,,,,,,,,,,WTW,1.0,IPHI,2.0,GUT,2.0,GT,4.0,IRM,2.0,,,,,,,,,,,,,,,LODE,0.0,FTA,2,HBI,0.0
CJJD,1.0,VCTR,0.0,QABA,4.0,,,EHC,2.0,OFG,3.0,,,RNGR,1.0,,,,,,,,,,,ZIOP,1.0,IRWD,2.0,HACK,3.0,GUT,3.0,IYW,4.0,,,,,,,,,,,,,,,MHD,0.0,GNCA,0,HEI,3.0
ENTG,1.0,BEDU,4.0,ONB,4.0,,,BGS,3.0,TCF,3.0,,,,,,,,,,,,,,,,,IYW,0.0,HAFC,1.0,HACK,4.0,IYZ,4.0,,,,,,,,,,,,,,,MPLX,0.0,GPL,2,HLT,1.0
CROX,1.0,BMA,4.0,FFIN,4.0,,,FRT,1.0,CHMI,3.0,,,,,,,,,,,,,,,,,IYZ,0.0,HBIO,1.0,HAFC,2.0,KURA,1.0,,,,,,,,,,,,,,,NBEV,2.0,GPRK,3,HMY,4.0
