,code,name,bvps,0,1,2
286,300750,宁德时代,12.86,70.88,71.96,0.015237020316027064
287,000615,京汉股份,2.44,6.53,16.45,1.5191424196018373
288,002686,亿利达,3.44,6.9,17.8,1.5797101449275361
289,000592,平潭发展,1.64,2.76,4.83,0.7500000000000001
290,002300,太阳电缆,2.47,6.57,35.08,4.339421613394216
291,000877,天山股份,6.97,6.57,10.41,0.5844748858447488
292,600292,远达环保,6.28,5.89,26.0,3.4142614601018675
293,002331,皖通科技,4.48,7.27,42.95,4.907840440165063
294,002497,雅化集团,2.68,10.05,37.45,2.72636815920398
295,002297,博云新材,3.23,6.24,24.24,2.8846153846153846
296,603701,德宏股份,4.19,13.18,67.11,4.091805766312595
297,002041,登海种业,3.21,7.29,24.39,2.345679012345679
298,300719,安达维尔,3.78,15.29,27.13,0.7743623283191629
299,000806,银河生物,1.89,4.17,26.5,5.3549160671462825
300,000848,承德露露,2.27,10.11,15.32,0.5153313550939664
301,002385,大北农,2.46,4.19,47.03,10.22434367541766
302,300526,中潜股份,3.1,13.97,88.03,5.301360057265569
303,603305,旭升股份,3.01,27.31,49.05,0.7960454046136946
304,000333,美的集团,12.03,47.4,43.24,-0.08776371308016871
305,002563,森马服饰,3.87,13.35,57.35,3.295880149812734
306,603269,海鸥股份,6.99,18.26,27.05,0.48138006571741504
307,600276,恒瑞医药,4.45,69.97,27.69,-0.6042589681291982
308,603027,千禾味业,3.6,20.4,27.69,0.35735294117647076
309,002879,长缆科技,7.36,15.48,29.88,0.9302325581395348
310,600183,生益科技,2.96,9.5,7.86,-0.17263157894736839
311,300150,世纪瑞尔,3.4,4.94,47.8,8.676113360323885
312,603527,众源新材,4.75,15.17,37.02,1.4403427818061965
313,603383,顶点软件,7.84,35.05,44.18,0.26048502139800295
314,002240,威华股份,3.82,12.76,17.24,0.35109717868338547
315,002115,三维通信,3.9,8.51,18.94,1.2256169212690955
316,002555,三七互娱,2.87,11.73,33.9,1.89002557544757
317,300515,三德科技,2.29,9.96,46.87,3.70582329317269
318,002093,国脉科技,3.04,7.48,20.14,1.692513368983957
