code,open,name,pe,pb,eps,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09,count,grow_radio_3,grow_radio_6,grow_self_3,grow_self_6,max_price,max_price_radio,price,price_week_3,vol_radio,volume_3,volume_6,week_3_rs,week_6_rs,year
BJJN,50.92,Barclays iPath Bloomberg Nickel Subindex Total Return,0,0,-0.399,150000000,1.3452,0,0,150000000,1.3452,0,0,-212000000,-1.3735,0,0,-212000000,-1.3735,0,0,38,0.013296304,-0.00813856,0.632233333,-0.44,62.0614,19%,50.46,51.38533333,-0.109563912,3559.666667,3997.666667,0.002194939,-0.03121071,0
BIO.B,297.6692,Bio-Rad Laboratories Inc Cl B,11.559186,1.914438,25.751745,268000000,52.2359,576000000,0.1412,657000000,51.9102,552000000,0.1029,77408000,4.4108,620000000,0.0857,27393000,0.4883,535000000,0.0516,754,0.000470087,0.006572029,0.139733333,2.083333333,324.25,0.081976253,297.6692,297.6692,-0.044291339,323.6666667,338.6666667,-0.031133386,0.002905278,14
BBDO,6.2,Banco Bradesco SA,9.525507,0.333757,0.650884,4568000000,0.1598,0,0,4527000000,0.1025,0,0,3599000000,-0.0054,0,0,3015000000,-0.0726,0,0,337,0.055684651,-0.000292115,0.349533333,-0.003333333,11.2727,36%,7.205,6.521666667,0.480014276,56675.66667,38294,0.068018016,-0.011470621,6
BALB,48.63,Barclays iPath Bloomberg Cotton Subindex Total Return,0,0,-0.399,150000000,1.3452,0,0,150000000,1.3452,0,0,-212000000,-1.3735,0,0,-212000000,-1.3735,0,0,37,-0.023224123,-0.003467164,-1.16,-0.183333333,57.24,18%,47.2,47.97666667,-0.245650219,4754.666667,6303,-0.027768292,-0.004652608,0
ARCO,6.8,Arcos Dorados Holdings,15.11176,3.598105,0.446672,1106000,1.2737,754000000,-0.056,563000,-0.9862,850000000,0.0875,69328000,2.2727,897000000,0.1112,23533000,14.3256,842000000,0.0861,391,0.019806829,-0.029704395,0.116666667,-0.2,28.52,77%,6.44,6.43,-0.538661499,2495685.667,5409662.667,0.015971002,-0.041662891,7
AMOV,16.42,America Movil,0,6.221176,-0.06392,1286000000,-0.9157,2.57068E+11,0.0306,18239000000,-0.5038,2.53422E+11,-0.0406,-11621000000,-1.2974,2.63859E+11,-0.0203,-8237000000,-3.4184,2.44189E+11,-0.0221,754,-0.023567842,-0.02044808,-0.384666667,-0.359133333,33.63,0.543562296,15.35,15.91336667,-0.256955255,21161.66667,28479.66667,-0.027343553,-0.012591825,14
AMBO,5.88,安博教育,11.691627,3.360114,0.502924,33169000,0.4808,150000000,0.1677,-6969000,0.5641,105000000,0.3652,21192000,2.1301,144000000,0.1,18322000,2.7935,94346000,0.0428,19,-0.093203171,0.040007703,-0.535433333,0.243333333,7.35,37%,4.61,5.343333333,0.121744932,53803,47963.66667,-0.102659193,0.01849879,0
AKO.A,20.04,Embotelladora Andina S.A.,15.499127,0.002123,1.292976,10944000000,0.1582,3.74077E+11,-0.077,45723000000,0.0457,4.75891E+11,-0.0509,44603000000,0.2133,5.24298E+11,0.01,21223000000,0.2991,4.17902E+11,-0.0117,754,0.006831803,-0.008731955,0.133366667,-0.19,33.33,0.402040204,19.93,19.94336667,-0.694887567,3984.666667,13059.66667,0.000988666,-0.029507852,14
HMTA,15.8,HomeTown Bankshares Corp.,26.441788,1.774533,0.597539,989000,117%,0,0%,1202000,55%,0,0%,399000,-0.3394,0,0,937000,0.0011,0,0,104,-4%,6%,-0.69,0.8924,15.75,3%,15.21,14.16666667,343%,271199.6667,61224.66667,-1%,6%,2
NRC,38.2,National Research Corp.,35.231015,34.59417,1.064403,7948000,38%,28017000,-1%,7306000,12%,31017000,2%,6517000,0.1383,29898000,0.0539,4153000,-0.1218,28951000,0.071,281,0%,-1%,-0.083333333,-0.333333333,40,4%,38.3,38.2,21%,126824,104695.3333,-1%,-1%,5
