code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
ADBE,Adobe,247.74,248.87,4779205,0.962034,50.673669,13.708285,4.911229
APTO,Aptose Biosciences Inc,2.13,2.18,188272,0.222868,0.0,2.792155,-1.1
UBNT,厄比奎蒂,84.49,86.58,439030,0.664791,34.042279,20.294006,2.543308
IAC,IAC/InterActiveCorp,199.09,201.49,666900,0.785211,33.018454,6.508899,6.102345
ALLT,艾奥特通讯,6.35,6.32,64416,0.40632,0.0,1.540881,-0.450325
TEAM,Atlassian Corporation PLC,81.22,81.71,1667113,0.747524,0.0,21.612835,-0.516216
YECO,玉龙生态材料有限公司,1.41,1.46,34980,0.68001,0.0,0.946122,-3.083285
SIEN,"Sientra, Inc.",20.98,21.46,343696,0.845667,0.0,5.927838,-3.386055
SVVC,Firsthand Technology Value Fund,15.24,15.67,56399,1.616434,2.421948,0.615032,6.47
AZRX,AzurRx Biopharma Inc.,2.36,2.45,59657,1.405308,0.0,5.431156,-0.994981
VKTX,"Viking Therapeutics, Inc.",14.16,14.46,3715106,0.935748,0.0,7.227043,-0.550035
DRIO,LabStyle Innovations Corp,0.95,0.93,20056,0.963656,0.0,5.731842,-0.994627
ENDP,远藤制药,17.34,17.51,6318976,1.304926,0.0,-63.164365,-4.615391
VNET,世纪互联,9.89,10.12,392834,0.565422,0.0,1.554718,-1.077393
GRIN,Grindrod Shipping Holdings Ltd.,7.49,7.9,50647,2.476674,0.0,0.49803,-602.386353
NNDM,Nano Dimension Ltd.,1.73,1.7613,106316,0.904448,0.0,0.760511,-1.128525
