code,name,open,latestPrice,pe,pb,eps
FANH,泛华金融控股集团,27.46,28.01,21.063682,2.885397,1.329777
AAOI,Applied Optoelectronics Inc.,22.54,22.92,12.708164,1.31768,1.803565
CLIR,ClearSign Combustion Corporation,1.5,1.53,0.0,4.109129,-0.56473
IMOS,南茂科技,14.93,15.1,63.074353,0.035023,0.2394
FTEK,燃料技术,1.25,1.28,0.0,0.954269,-0.14605
SMIT,Schmitt Industries,2.73,2.82,0.0,1.183798,-0.150944
SRNE,Sorrento Therapeutics Inc.,3.56,3.59,0.0,1.533725,-0.332006
ATTU,Attunity Ltd,16.3,16.44,0.0,5.727494,-0.091913
QLYS,科力斯,72.46,73.56,93.635679,7.854196,0.785598
DXLG,Casual Male Retail Group,2.5,2.58,0.0,1.887318,-0.274194
GHDX,Genomic Health,64.02,65.33,552.782101,10.401382,0.118184
CLPS,CLPS Inc,8.63,8.78,41.53716,6.938889,0.211377
AMZN,亚马逊,1808.0,1788.61,137.910527,24.928669,12.969351
MARA,Marathon Patent Group Inc.,0.6,0.6085,0.0,1.904706,-4.048035
NTAP,美国网存,75.89,76.92,87.553457,10.376126,0.878549
MGIC,Magic Software Enterprises Ltd,8.36,8.61,21.687548,1.996433,0.397002
CLBS,Caladrius Biosciences Inc. ,4.81,4.96,0.0,1.102843,-1.605677
AGIO,"Agios Pharmaceuticals, Inc.",64.73,65.88,0.0,4.641424,-6.233862
CYRN,Cyren Ltd,3.28,3.4,0.0,4.549815,-0.431611
WKHS,"Workhorse Group, Inc.",1.02,1.05,0.0,-11.459655,-0.903403
TYHT,Shineco Inc.,0.91,0.9197,1.641911,0.251543,0.56014
AMAG,AMAG制药公司,22.1,22.45,0.0,1.064673,-6.416036
JRJC,金融界,1.81,1.85,0.0,0.961689,-1.157382
POWI,帕沃英蒂格盛,57.48,58.43,59.511563,3.292802,0.981826
NFTY,First Trust Taiwan AlphaDEX Fund,32.84,33.1,0.0,0.0,0.0
CHMA,"Chiasma, Inc.",3.31,3.45,0.0,1.745498,-1.17592
BIOC,Biocept Inc.,2.32,2.39,0.0,2.765427,-17.176695
BYFC,百老汇金融,1.29,1.33,0.0,0.752191,-0.00418
IDXX,IDEXX实验室,219.6,222.42,63.214526,-468.294848,3.518495
MEIP,MEI Pharma,3.85,4.02,0.0,5.663357,-0.967101
BPTH,"Bio-Path Holdings, Inc.",0.55,0.54,0.0,1.51727,-0.768309
INFN,英飞朗,5.85,5.92,0.0,1.420907,-1.06638
LPCN,Lipocine Inc,1.33,1.35,0.0,2.068392,-0.753278
AVEO,AVEO制药公司,2.64,2.7,0.0,-7.220407,-0.238772
CBLK,Carbon Black,18.0,17.82,0.0,5.848679,-14.311269
PDD,拼多多,22.1012,21.62,0.0,-97.7082,-2.202761
YTRA,"Yatra Online, Inc. ",5.04,5.14,0.0,0.079416,-0.490234
CLXT,Calyxt Inc.,13.5,13.8,0.0,4.201656,-1.21515
IRBT,iRobot Corp.,90.44,90.61,43.825323,5.421483,2.067526
APTX,Aptinyx Inc.,25.65,26.36,0.0,5.029939,-6.914407
DXCM,德康医疗,124.6,127.07,0.0,23.288453,-0.060621
BIB,ProShares Ultra Nasdaq Biotechnology,57.83,57.77,0.0,0.0,0.0
SGOC,上为集团,0.9749,0.96,0.0,0.864845,-0.988746
NOVT,Novanta Inc.,62.93,64.11,126.964568,6.84983,0.504944
IONS,"Ionis Pharmaceuticals, Inc",44.19,45.0,0.0,8.872218,-0.402251
JRSH,"Jerash Holdings (US), Inc.",5.8,5.85,9.448987,1.482165,0.619114
TELL,Tellurian Inc.,8.81,8.89,0.0,6.197614,-0.432909
EVOL,Evolving Systems,2.16,2.25,25.001945,0.787774,0.089993
