,2014-12-31,2015-12-31,2016-12-31,2017-12-31,code,name,category,pe
40,0.0,0.0,0.0,0.0,ORCL,甲骨文公司,软件,23.04739502
41,0.0,0.0,0.0,0.0762,NGG,英国国家电网公司,,16.92307658
42,0.0,0.0,0.0,0.0,CSCO,思科系统公司,电信,21.53608121
43,0.2486,0.2534,0.244,0.2309,TSM,台湾积体电路制造公司,半导体,17.73239363
44,0.0746,0.1107,0.1074,0.2102,T,美国电话电报公司,电信,15.0809531
45,0.2331,0.2859,0.2821,0.0676,KO,可口可乐公司,饮料,30.02684657
46,0.0735,0.0764,0.0189,0.06,HSBC,汇丰控股公司,银行,143.75756588
47,0.1404,0.1461,0.1524,0.1326,AVAL,Grupo Aval Acciones y Valores SA,,12.59090923
48,0.123,0.1181,0.1108,0.1157,CHL,中国移动通信集团公司,,11.42487038
49,0.1437,0.0553,0.0698,0.1561,NFLX,奈飞公司,,920.46507258
50,0.0354,0.0777,0.0662,-0.0334,C,花旗集团,银行,14.19491589
51,0.2446,0.0996,0.0978,0.0699,MRK,默沙东集团,生物技术和制药,44.6028375
52,0.3867,0.327,0.3267,0.4508,UN,联合利华,,28.63265196
53,0.1587,0.1792,0.3014,0.2139,EOCC,Enel Generaci贸n Chile SA,,7.81609212
54,0.3867,0.327,0.3267,0.4508,UL,联合利华PLC,食品,28.33673461
55,0.0,0.0,0.0,0.0,DIS,沃特迪士尼公司,媒体内容,19.8555958
56,0.0,0.0,0.5696,0.0,PEP,百事可乐公司,饮料,25.84633004
57,0.0735,0.0764,0.0189,0.06,HSEB,HSBC Holdings Plc,,34.90666707
58,0.0,0.0,0.0,0.0,CMCSA,康卡斯特公司,媒体,19.3854757
59,0.3931,0.1326,0.0113,0.1181,SHPG,夏尔制药公司,生物技术和制药,139.4193577
60,0.0746,0.1107,0.1074,0.2102,TBB,AT&#38;T Inc.,,
61,0.0454,0.0502,0.0611,0.0728,TOT,道达尔公司,,24.81673353
62,0.163,0.2973,0.1617,0.0156,DWDP,陶氏杜邦公司,,
63,0.0,0.0,0.0,0.0,NVDA,英伟达公司,半导体,97.01167852
