code,name,pe,pb,eps,net_radio2018-06,income_radio2018-06,net_radio2018-03,income_radio2018-03
CHKP,Check Point软件科技,22.552835,4.971287,5.11776,4.95%,2.01%,2.51%,3.88%
LSTR,莱帝运输,22.562858,7.656791,5.431493,66.60%,36.23%,77.48%,34.61%
WETF,WisdomTree Investments,33.895255,3.376252,0.233366,38.16%,32.09%,36.98%,10.32%
WILC,G. Willi-Food International,9.95719,0.841721,0.711044,312.47%,2.58%,67.91%,12.10%
STRL,Sterling Construction Company In,17.671208,2.478712,0.793381,100.35%,9.06%,295.12%,45.03%
TVTY,"Tivity Health, Inc.",17.313503,4.352629,2.009992,73.83%,9.32%,39.81%,6.36%
ECHO,Echo Global Logistics,33.617511,2.581433,1.017327,3233.88%,35.04%,264.59%,38.81%
SABR,Sabre Corporation,19.994406,8.031677,1.279858,1836.60%,9.29%,15.53%,7.98%
CSWI,"CSW Industrials, Inc.",0,3.291745,-0.557598,37.14%,0.31%,132.37%,9.21%
LANC,兰卡斯特食品,31.937665,6.6331,4.928037,13.69%,6.31%,90.87%,0.80%
NXST,Nexstar Broadcasting Group,6.460614,2.211614,12.274376,78.73%,5.46%,857.54%,13.88%
PYPL,PayPal,52.161269,7.000053,1.702796,27.98%,22.99%,33.07%,23.87%
GNTX,真泰克,14.846067,3.284652,1.58089,23.14%,2.67%,14.03%,2.62%
CDNS,铿腾电子,59.224722,11.055333,0.784132,8.71%,8.22%,6.78%,8.47%
VRSN,威瑞信,33.498911,-13.931141,4.710601,4.27%,4.82%,15.33%,3.70%
SYNL,Synalloy Corporation,27.304494,2.042552,0.831365,343.11%,39.57%,421.13%,38.57%
PCAR,帕卡,11.773359,2.755426,5.861539,50.03%,24.31%,65.03%,35.22%
FCFS,第一富金融服务,22.205912,2.693369,3.584631,97.99%,0.80%,27.54%,0.50%
SPNS,Sapiens International Corp,53.477377,2.916307,0.222524,159.37%,4.51%,226.14%,25.58%
MANT,美泰科技,21.068593,1.924225,3.161578,27.98%,18.70%,33.53%,13.11%
WERN,沃纳企业公司,11.720183,2.184474,3.178278,64.80%,19.18%,73.59%,12.26%
COHR,Coherent,17.212846,3.419249,10.064576,9.58%,3.93%,56.06%,13.78%
COLM,哥伦比亚户外,46.817948,3.869516,1.937932,192.74%,20.74%,25.32%,11.68%
LRCX,拉姆研究,10.835132,3.867608,14.728017,93.98%,33.31%,35.51%,34.27%
OTEX,Open Text Corporation,42.149782,2.758444,0.910325,33.80%,13.67%,170.82%,15.64%
AMZN,亚马逊,150.514087,27.206885,12.969351,1186.29%,39.34%,125.00%,42.92%
CASS,卡斯信息系统,31.00524,3.820492,2.271229,15.29%,7.96%,28.30%,11.37%
SPAR,Spartan Motors,22.211309,2.990313,0.682085,232.74%,8.39%,481.62%,3.57%
BRKS,布鲁克自动化,20.512058,3.581206,1.760428,30.29%,22.98%,378.54%,22.40%
EXEL,伊克力西斯,16.987864,7.133917,1.091956,395.55%,87.97%,593.75%,164.22%
NICE,耐斯系统,43.130287,3.696735,2.688598,67.48%,9.79%,36.07%,9.76%
GENC,范科工业,18.58396,1.321948,0.678004,3.63%,1.58%,10.22%,36.86%
BKNG,Booking Holdings,33.510309,8.620829,56.752983,35.71%,16.95%,33.27%,21.03%
CNMD,CONMED Corporation,31.010822,3.523646,2.620053,42.03%,7.95%,334.48%,8.31%
ALGT,Allegiant Travel Company,10.23951,3.322653,12.944956,1.99%,9.79%,30.32%,12.32%
AIRT,Air T,16.445979,2.432426,2.024811,166.86%,27.34%,387.42%,22.06%
BMCH,"BMC Stock Holdings, Inc.",16.073247,1.834984,1.368734,129.63%,12.65%,310.23%,10.10%
EZPW,艾茨克普,11.453928,0.783583,0.929812,174.39%,9.15%,45.61%,7.09%
EXPO,毅博科技咨询,56.247214,8.635756,0.940491,33.60%,6.96%,22.71%,12.70%
MSFT,微软,50.281659,10.031405,2.152077,9.96%,17.50%,35.33%,15.54%
TSCO,Tractor Supply Company,23.133316,7.750739,3.867582,29.03%,9.69%,18.44%,7.60%
TRS,瑞奇包装系统,26.348206,2.387497,1.157574,31.99%,5.41%,247.93%,8.64%
SKYW,西空航空,6.67046,1.705942,9.137301,50.28%,1.77%,56.28%,4.85%
BIIB,生化基因,24.026418,5.580346,14.136522,6.05%,4.46%,56.68%,6.02%
GRBK,Green Brick Partners,18.745091,1.144082,0.533473,101.41%,47.70%,60.94%,29.12%
MGRC,McGrath RentCorp,8.113131,2.505162,6.862949,38.84%,6.39%,81.44%,10.59%
FOXF,Fox Factory Holding Corp.,43.762579,9.437193,1.553839,37.06%,29.81%,103.74%,22.07%
SHOO,史蒂夫·马登,23.636334,3.981137,2.371349,11.79%,5.77%,42.28%,6.18%
BOOM,Dynamic Materials Corporation,0,4.816096,-0.423172,3271.43%,71.47%,229.80%,72.77%
HSTM,健康流科技,30.366408,3.21998,1.024158,12.31%,7.72%,1755.72%,5.56%
SLGN,Silgan Holdings,9.399484,3.590419,2.893776,98.18%,3.65%,96.80%,25.69%
ROCK,Gibraltar Industries,18.480736,2.535464,2.424146,78.85%,7.43%,109.01%,4.23%
FISV,费哲金融服务,22.883819,11.355008,3.492424,13.57%,2.45%,71.26%,3.30%
KLIC,库力索法半导体,25.230203,1.904403,0.985327,73.10%,10.22%,11.15%,11.10%
PRMW,Primo Water Corporation,65.165361,4.849665,0.298318,118.22%,1.32%,110.20%,21.28%
QNST,QuinStreet,41.172169,4.490133,0.343193,496.27%,36.78%,1129.19%,48.89%
CRAI,CRA国际,36.055824,2.312717,1.557862,75.04%,12.80%,72.65%,12.82%
SIRI,Sirius XM Holdings Inc.,38.356074,-22.856925,0.181979,44.65%,6.29%,39.78%,6.26%
ALGN,阿莱技术公司,100.209911,24.290559,3.678678,53.38%,37.53%,38.10%,40.79%
LMAT,勒梅特微管医疗,30.674038,5.634988,1.139726,88.92%,4.92%,19.70%,7.68%
ROLL,RBC轴承,39.828397,4.251132,3.860311,25.94%,7.38%,23.59%,12.28%
FARO,法如科技,0,3.063828,-0.465955,133.24%,18.82%,131.14%,13.82%
SEIC,SEI Investments Company,19.998447,6.071422,3.079739,32.59%,8.73%,57.59%,12.67%
REGN,Regeneron Pharmaceuticals,26.696658,5.939407,14.811404,42.21%,10.35%,92.01%,12.89%
USAP,通用不锈钢和合金制品公司,15.764429,1.102514,1.861152,228.83%,25.59%,274.32%,30.41%
SAMG,Silvercrest Asset Management Gro,19.433146,2.394601,0.77445,16.47%,11.25%,22.73%,10.84%
ADUS,爱德斯,48.70903,4.533835,1.373462,59.15%,29.23%,14.06%,9.84%
DZSI,"DASAN Zhone Solutions, Inc.",23.521213,2.295017,0.436202,255.03%,27.22%,104.03%,14.18%
USAK,USA Truck,9.245179,2.488362,2.338516,189.39%,26.10%,121.17%,22.96%
IDXX,IDEXX实验室,68.935722,-510.677616,3.518495,27.25%,14.11%,29.57%,16.37%
MNRO,Monro Muffler Brake,34.698415,3.596479,2.030352,17.40%,6.22%,80.96%,13.32%
CSGP,科斯塔,86.887333,5.541352,4.99578,97.60%,25.24%,136.02%,20.82%
ISRG,直觉外科公司,75.951618,10.441193,7.08293,14.17%,19.83%,58.90%,24.71%
FLOW,弗洛国际,24.153168,2.129995,1.954195,129.41%,6.67%,309.59%,13.18%
CCMP,卡伯特微电子,31.12508,4.271958,3.460232,76.39%,17.57%,62.68%,19.96%
BLDR,Builders FirstSource,23.798838,3.96777,0.670621,49.36%,13.38%,507.54%,10.92%
CHRW,罗宾逊物流,23.533976,8.800943,4.097905,43.30%,15.26%,16.56%,14.94%
UBNT,厄比奎蒂,35.237572,21.00657,2.543308,15.50%,18.00%,59.45%,14.68%
