,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
4207,CXW,"CoreCivic, Inc.",22.04,$2.62B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cxw,
4208,CLGX,"CoreLogic, Inc.",40.47,$3.26B,,Technology,EDP Services,https://www.nasdaq.com/symbol/clgx,
4209,CORR,"CorEnergy Infrastructure Trust, Inc.",36.43,$435.31M,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/corr,
4210,CORR^A,"CorEnergy Infrastructure Trust, Inc.",24.92,,,,,https://www.nasdaq.com/symbol/corr^a,
4211,CPLG,CorePoint Lodging Inc.,14.24,$849.45M,2018.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cplg,
4212,COR,CoreSite Realty Corporation,105.44,$3.87B,2010.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cor,
4213,GLW,Corning Incorporated,34.85,$27.42B,,Basic Industries,Telecommunications Equipment,https://www.nasdaq.com/symbol/glw,
4214,CAAP,Corporacion America Airports SA,7.8,$1.25B,2018.0,Transportation,Aerospace,https://www.nasdaq.com/symbol/caap,
4215,GYC,Corporate Asset Backed Corp CABCO,21.1233,,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/gyc,
4216,OFC,Corporate Office Properties Trust,26.29,$2.9B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ofc,
4217,CZZ,Cosan Limited,11.63,$2.85B,,Consumer Non-Durables,Specialty Foods,https://www.nasdaq.com/symbol/czz,
4218,CMRE,Costamare Inc.,5.35,$596.15M,2010.0,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/cmre,
4219,CMRE^B,Costamare Inc.,22.6829,,,,,https://www.nasdaq.com/symbol/cmre^b,
4220,CMRE^C,Costamare Inc.,23.9,,,,,https://www.nasdaq.com/symbol/cmre^c,
4221,CMRE^D,Costamare Inc.,24.65,,,,,https://www.nasdaq.com/symbol/cmre^d,
4222,CMRE^E,Costamare Inc.,24.99,,,,,https://www.nasdaq.com/symbol/cmre^e,
4223,COT,Cott Corporation,13.86,$1.88B,,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/cot,
4224,COTY,Coty Inc.,11.27,$8.47B,2013.0,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/coty,
4225,CUZ,Cousins Properties Incorporated,9.55,$4.01B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cuz,
4226,CVA,Covanta Holding Corporation,16.81,$2.2B,,Basic Industries,Electric Utilities: Central,https://www.nasdaq.com/symbol/cva,
4227,CVIA,Covia Holdings Corporation,5.02,$658.56M,2018.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/cvia,
4228,CPF,CPB Inc.,29.9,$866.13M,,Finance,Major Banks,https://www.nasdaq.com/symbol/cpf,
4229,CPL,CPFL Energia S.A.,16.88,$8.59B,2004.0,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/cpl,
4230,CR,Crane Co.,85.53,$5.08B,,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/cr,
4231,CRD.A,Crawford & Company,,,,,,https://www.nasdaq.com/symbol/crd.a,
4232,CRD.B,Crawford & Company,,,,,,https://www.nasdaq.com/symbol/crd.b,
4233,BAP,Credicorp Ltd.,242.61,$19.35B,,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bap,
4234,CS,Credit Suisse Group,11.87,$30.3B,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/cs,
4235,CPG,Crescent Point Energy Corporation,3.0,$1.65B,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cpg,
4236,CEQP,Crestwood Equity Partners LP,33.12,$2.36B,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ceqp,
4237,CRH,CRH PLC,31.27,$25.4B,,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/crh,
4238,CRT,Cross Timbers Royalty Trust,11.335,$68.01M,1992.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/crt,
4239,CAPL,CrossAmerica Partners LP,17.14,$590.37M,2012.0,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/capl,
4240,CCI,Crown Castle International Corporation,119.87,$49.73B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cci,
4241,CCI^A,Crown Castle International Corporation,1118.5,,,,,https://www.nasdaq.com/symbol/cci^a,
4242,CCK,"Crown Holdings, Inc.",54.48,$7.37B,,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/cck,
4243,CRY,"CryoLife, Inc.",29.38,$1.09B,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/cry,
4244,CSS,"CSS Industries, Inc.",7.21,$63.71M,,Consumer Services,Consumer: Greeting Cards,https://www.nasdaq.com/symbol/css,
4245,CTS,CTS Corporation,31.64,$1.05B,,Technology,Electrical Products,https://www.nasdaq.com/symbol/cts,
4246,CUBE,CubeSmart,30.22,$5.63B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cube,
4247,CUB,Cubic Corporation,62.71,$1.95B,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cub,
4248,CFR,"Cullen/Frost Bankers, Inc.",105.28,$6.63B,,Finance,Major Banks,https://www.nasdaq.com/symbol/cfr,
4249,CFR^A,"Cullen/Frost Bankers, Inc.",25.5809,,,,,https://www.nasdaq.com/symbol/cfr^a,
4250,CULP,"Culp, Inc.",19.22,$240.1M,,Basic Industries,Textiles,https://www.nasdaq.com/symbol/culp,
4251,CMI,Cummins Inc.,155.44,$24.46B,,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cmi,
4252,CURO,CURO Group Holdings Corp.,10.74,$493.96M,2017.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/curo,
4253,CW,Curtiss-Wright Corporation,121.42,$5.32B,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cw,
4254,SRF,Cushing Energy Income Fund (The),7.69,$19.03M,2012.0,,,https://www.nasdaq.com/symbol/srf,
4255,SRV,Cushing MLP & Infrastructure Total Return Fund,10.11,$68.08M,,,,https://www.nasdaq.com/symbol/srv,
4256,SZC,Cushing Renaissance Fund (The),16.37,$127.77M,2012.0,,,https://www.nasdaq.com/symbol/szc,
4257,CWK,Cushman & Wakefield plc,18.69,$4.04B,2018.0,Finance,Real Estate,https://www.nasdaq.com/symbol/cwk,
4258,CUBI,"Customers Bancorp, Inc",22.12,$685.1M,,Finance,Major Banks,https://www.nasdaq.com/symbol/cubi,
4259,CUBI^C,"Customers Bancorp, Inc",25.9128,,,,,https://www.nasdaq.com/symbol/cubi^c,
4260,CUBI^D,"Customers Bancorp, Inc",25.7783,,,,,https://www.nasdaq.com/symbol/cubi^d,
4261,CUBI^E,"Customers Bancorp, Inc",25.78,,,,,https://www.nasdaq.com/symbol/cubi^e,
4262,CUBI^F,"Customers Bancorp, Inc",25.329,,,,,https://www.nasdaq.com/symbol/cubi^f,
4263,CVI,CVR Energy Inc.,42.7,$4.29B,2007.0,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/cvi,
4264,UAN,"CVR Partners, LP",3.96,$448.6M,2011.0,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/uan,
4265,CVS,CVS Health Corporation,61.95,$80.11B,,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/cvs,
4266,CELP,"Cypress Energy Partners, L.P.",7.7,$91.98M,2014.0,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/celp,
4267,DHI,"D.R. Horton, Inc.",40.84,$15.25B,,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/dhi,
4268,DAN,Dana Incorporated,20.7,$2.99B,,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/dan,
4269,DHR,Danaher Corporation,113.48,$79.61B,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dhr,
4270,DAC,Danaos Corporation,0.8936,$190.63M,2006.0,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/dac,
4271,DQ,DAQO New Energy Corp.,39.85,$512.62M,2010.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/dq,
4272,DRI,"Darden Restaurants, Inc.",111.76,$13.8B,,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/dri,
4273,DAR,Darling Ingredients Inc.,22.16,$3.65B,,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/dar,
