code,net2017_1,,net2017_2,,net2017_3,,net2017_4,pe
600338,305.8753,0.863101401,569.8767,0.446413408,824.2773,0.351055889,1113.6447,16.4
2756,65.0989,1.558791316,166.5745,0.563187042,260.3871,0.350526197,351.6596,16.72
776,2138.5268,1.011397145,4301.4267,0.480261398,6367.2359,0.34994199,8595.3991,16.71
600581,272.693,0.472182271,401.4538,1.155326217,865.2639,0.349830497,1167.9596,14.25
600639,201.0741,0.844509561,370.8831,0.473543011,546.5122,0.349387992,737.457,16.63
603585,46.5597,1.434515257,113.3503,0.468588967,166.465,0.349114228,224.5803,16.85
603608,33.2572,2.026559662,100.6549,0.385888814,139.4965,0.347262476,187.9384,13.26
600497,291.7122,0.86700522,544.6282,0.57686216,858.8036,0.34510731,1155.183,16.34
300415,51.9856,1.566664615,133.4296,0.535938802,204.9397,0.344240769,275.4883,18.43
601318,23053,0.883789528,43427,0.527114468,66318,0.343345698,89088,10.95
600076,111.1077,1.078405907,230.9269,0.505476841,347.6551,0.341289686,466.3062,9.09
300459,105.9278,0.927222127,204.1464,0.438872299,293.7406,0.341093128,393.9335,15.68
601689,172.6373,1.241861405,387.0289,0.423882041,551.0835,0.339180542,738.0003,17.41
525,158.0213,1.219556478,350.7372,0.485611449,521.0592,0.338726387,697.5557,11.6
300230,71.0424,1.076075696,147.4894,0.478784916,218.1051,0.338659665,291.9685,19.72
2555,433.0332,0.96416926,850.5505,0.424182691,1211.3393,0.337843493,1620.5824,14.47
2516,70.5312,1.419459757,170.6474,0.686275326,287.7585,0.337055204,384.749,19.79
600297,970.6645,1.062730016,2002.2188,0.452179152,2907.5804,0.335941802,3884.3582,11.5
2176,45.3577,0.368640826,62.0784,2.393378373,210.6555,0.33537648,281.3044,18.23
601928,292.0768,1.676488855,781.7403,0.117056777,873.2483,0.335156221,1165.9229,14.61
2081,478.258,0.874508111,896.4985,0.603051204,1437.133,0.334946452,1918.4956,12.78
