code,net2017_1,net2017_2,net2017_3,net2017_4,net2018_1,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300151,3.9972,13.2561,24.6027,34.6993,9.6462,昌红科技,机械基件,深圳,78.92,2.87,5.03,95431.31,58445.93,22895.25,11105.99,0.22,0.019,1.67,3.64,20101222,20922.05,0.42,18.69,141.32,26.18,6.44,33295.0
600727,5.2373,26.8671,45.7951,78.4485,24.9836,鲁北化工,农药化肥,山东,25.96,3.51,3.51,147682.05,67183.93,69962.61,87415.96,2.49,0.071,3.38,2.19,19960702,-21564.9,-0.61,-13.05,377.03,35.22,21.79,36191.0
000682,8.3556,26.1954,34.878,63.5177,7.6052,东方电子,电气设备,山东,171.88,9.78,13.41,477242.94,384401.91,58794.01,45377.03,0.34,0.01,1.79,2.18,19970121,30092.19,0.22,9.86,-8.98,35.26,1.64,120633.0
000099,13.9701,41.3218,83.9833,90.9833,14.5935,中信海直,空运,深圳,68.21,6.06,6.06,545391.13,171391.52,290437.53,103327.21,1.7,0.024,4.89,1.34,20000731,110101.42,1.82,7.62,4.46,17.37,5.15,64212.0
000408,28.9794,314.6176,675.2330000000001,1214.3771,84.0678,藏格控股,农药化肥,青海,86.27,4.47,19.94,784161.06,377803.94,320510.28,107658.35,0.54,0.042,3.32,4.38,19960628,312036.81,1.57,20.18,190.09,68.69,32.07,25222.0
300598,2.0609,11.9955,23.7394,39.3758,-6.4547,诚迈科技,软件服务,江苏,0.0,0.48,0.8,53221.01,43178.96,556.25,17531.67,2.19,-0.081,5.54,4.7,20170120,16816.24,2.1,-0.85,-413.2,25.41,-5.74,9182.0
300036,7.6442,26.0206,70.0372,196.266,12.767000000000001,超图软件,软件服务,北京,184.86,3.32,4.5,251980.38,135983.2,16294.02,82980.11,1.85,0.027999999999999997,4.04,5.19,20091225,50079.15,1.11,23.89,67.02,52.72,5.4,33670.0
002618,7.9287,11.6232,16.7755,25.3736,4.3158,丹邦科技,元器件,深圳,664.95,5.48,5.48,251160.25,39543.44,135021.92,71198.96,1.3,0.008,3.07,6.83,20110920,39840.59,0.73,-4.26,-45.57,38.31,5.98,22619.0
600592,9.0547,29.1027,57.8645,71.016,24.5931,龙溪股份,机械基件,福建,26.77,4.0,4.0,273942.56,146470.11,64840.8,69608.68,1.74,0.062,4.74,1.39,20020805,47684.06,1.19,37.84,171.61,28.09,9.2,27078.0
002674,11.292,24.1691,34.5739,45.1369,9.4055,兴业科技,纺织,福建,59.42,2.4,3.02,272997.47,203783.84,53669.3,135796.22,4.5,0.031,7.81,0.95,20120507,60422.86,2.0,-19.99,-16.71,9.44,2.8,10320.0
