change,change_ratio,eps,hold,instrument_type,last_price,market_value,mv,open_price,price,price_direct,price_direction,price_direction_desc,security_code,security_id,security_name,security_type,short_name,status,turnover,volume,watched
0.000,0.00%,0.0,0,3,11.050,7.45亿,744930523.35,11.110,11.050,flat,0,flat,VMO,203469,范·卡本市政债券投机基金,us,范·卡本,0,153.71万,13.90万,-1
0.000,0.00%,0.0,0,3,13.570,79.36亿,7936347342.07,13.550,13.570,flat,0,flat,NWSA,203504,新闻集团,us,新闻集团,0,3750.68万,275.81万,-1
0.000,0.00%,0.0,0,3,12.450,5.10亿,510480913.35,12.450,12.450,flat,0,flat,MUC,203619,黑岩加州投资基金,us,黑岩加州,0,217.87万,17.51万,-1
0.000,0.00%,21.609,0,3,17.720,4881.15万,48811512.0,17.720,17.720,flat,0,flat,WAYN,203657,"Wayne Savings Bancshares, Inc.",us,Wayne Saving,0,0,0,-1
0.000,0.00%,34.628,0,3,12.120,7054.74万,70547441.52,12.110,12.120,flat,0,flat,MGYR,203912,"Magyar Bancorp, Inc.",us,Magyar Banco,0,641.83,53,-1
0.000,0.00%,22.004,0,3,21.564,4.47亿,447224339.13,21.550,21.564,flat,0,flat,HVT.A,203955,哈弗蒂家具,us,哈弗蒂家,0,0,0,-1
0.000,0.00%,7.431,0,3,4.310,1594.12万,15941241.84,4.310,4.310,flat,0,flat,CARV,203978,卡弗储蓄,us,卡弗储蓄,0,0,80,-1
0.000,0.00%,0.025,0,3,0.185,158.77万,1587670.0,0.000,0.185,flat,0,flat,CVO,203984,森维欧,us,森维欧,0,0,0,-1
0.000,0.00%,0.0,0,3,25.290,190.64亿,19064095812.54,24.190,25.290,flat,0,flat,LBTYB,204018,自由全球,us,自由全球,0,0,0,-1
0.000,0.00%,0.0,0,3,9.000,4662.36万,46623600.0,8.230,9.000,flat,0,flat,OBAS,204234,阿贝斯,us,阿贝斯,0,0,0,-1
0.000,0.00%,17.487,0,3,33.750,9079.80万,90798030.0,32.750,33.750,flat,0,flat,EMCF,204273,恩克莱尔金融,us,恩克莱尔,0,0,140,-1
0.000,0.00%,0.0,0,3,9.600,1.50亿,150300480.0,9.600,9.600,flat,0,flat,NVLS,204341,诺发系统,us,诺发系统,0,0,0,-1
0.000,0.00%,38.68,0,3,27.850,1.17亿,117460689.15,0.000,27.850,flat,0,flat,UCBA,204415,United Community Bancorp (Indiana),us,United Commu,0,0,0,-1
0.000,0.00%,0.0,0,3,1.210,6693.38万,66933812.0,0.000,1.210,flat,0,flat,CASC,204533,Cascade Corp.,us,Cascade Corp,1,0,0,-1
0.000,0.00%,0.0,0,3,101.163,0,0.0,100.680,101.163,flat,0,flat,CMS-B,204612,CONSUMERS ENERGY CO,us,CONSUMERS EN,0,0,0,-1
0.000,0.00%,0.0,0,3,12.600,5915.74万,59157407.023,0.000,12.600,flat,0,flat,KST,204699,KST基金,us,KST基金,0,0,0,-1
0.000,0.00%,29.08,0,3,14.540,4.33亿,432689724.12,14.470,14.540,flat,0,flat,OSBC,204790,"Old Second Bancorp, Inc.",us,Old Second B,0,70.65万,4.87万,-1
