code,name,pe,roe2013,roe2014,roe2015,roe2016,roe2017,roe2018
01041,林达控股,-0.52,8.51,20.39,-,-,5.98,0
00832,建业地产,9.056000000000001,17.03,13.71,11.79,6.27,10.54,0
02099,中国黄金国际,-80.375,3.87,2.73,-,-,4.22,0
01635,大众公用,0.0,7.21,7.83,8.11,7.75,6.60,0
00582,蓝鼎国际（六万）,-54.086000000000006,-,-,-,-,3.13,0
01263,柏能集团,-163.409,9.36,6.29,-,16.09,27.50,0
00208,保利达资产,60.0,0.04,0.39,0.46,0.48,2.20,0
03988,中国银行,5.356,0.04,0.39,0.46,0.48,2.20,0
03301,融信中国,5.607,33.93,49.61,33.30,17.30,16.43,0
00332,元亨燃气,365.0,0,30.35,3.36,1.25,-,10.69
00711,亚洲联合基建控股,3.411,0,5.66,6.47,15.87,9.26,5.99
