name,business_income_2017_1,business_income_2017_2,business_income_2017_3,business_income_2017_4,business_income_2018_1,business_income_2018_2,business_income_2018_3,business_income_2018_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
中泰化学,6727.0323,16800.1891,26888.6321,41059.027,10274.8871,27348.8689,45183.2313,,化工原料,新疆,7.0,20.34,21.46,6401846.0,2560790.0,2619744.5,927993.63,4.32,0.937,8.66,1.01,20061208.0,670645.94,3.12,68.04,-1.69,12.93,4.45,90328.0
五洲交通,387.2971,791.5487,1183.9844,1792.1772,321.6437,834.4512,1246.0226,,路桥,广西,9.89,11.26,11.26,1040021.81,318957.47,617935.44,46764.51,0.42,0.261,3.06,1.13,20001221.0,142807.81,1.27,5.24,-0.22,56.54,23.56,55211.0
云海金属,1140.7684,2344.6293,3597.7132,4926.86,1157.9724,2441.9837,3810.74,,小金属,江苏,15.64,4.51,6.46,417307.63,205787.16,124715.4,46609.55,0.72,0.38299999999999995,2.83,2.82,20071113.0,58614.23,0.91,5.92,83.65,14.43,6.5,59893.0
大豪科技,197.2967,487.2735,774.1357,1057.0569,296.1011,651.0697,870.6059,,电脑设备,北京,24.18,9.13,9.22,195080.92,147141.95,12753.17,18552.67,0.2,0.353,1.93,5.91,20150422.0,49781.5,0.54,12.46,9.64,49.87,37.42,17185.0
罗莱生活,1057.7673,1981.4359,3182.67,4661.8509,1171.5087,2196.9066,3451.6815,,纺织,江苏,15.27,7.0,7.54,509945.56,374404.56,37217.26,79907.38,1.06,0.51,4.85,2.1,20090910.0,175612.3,2.33,8.45,21.44,43.4,10.92,29828.0
富奥股份,1718.361,3422.1413,5094.838,7193.2631,1735.5109,3819.3637,5688.4106,,汽车配件,吉林,9.41,17.51,18.11,1123746.88,553047.44,204403.48,53296.61,0.29,0.365,3.4,1.35,19930929.0,328945.75,1.82,11.65,2.57,15.23,11.62,32650.0
万里扬,1589.7757,2688.9338,3767.2651,5030.1966,1020.86,2161.1668,3227.5342,,汽车配件,浙江,18.41,10.19,13.5,939509.13,374322.91,134223.0,310087.5,2.3,0.272,4.55,1.47,20100618.0,163889.81,1.21,-14.33,-35.86,24.37,11.4,26502.0
万通智控,64.2279,153.8804,232.6677,320.1962,61.3105,137.9657,222.2355,,汽车配件,浙江,49.83,0.72,2.0,49749.25,37387.05,9560.69,13293.52,0.66,0.14300000000000002,2.1,4.52,20170505.0,7493.25,0.37,-4.48,-2.69,27.86,12.84,18753.0
永东股份,385.2595,856.66,1336.4541,1985.3379,597.4652,1259.9588,1880.7588,,化工原料,山西,11.18,2.0,3.33,205306.22,114881.63,47018.31,15785.12,0.47,0.6859999999999999,4.03,2.54,20150519.0,77474.27,2.32,40.73,63.16,23.76,12.16,16342.0
农业银行,148388.0,276953.0,408390.0,537041.0,155865.0,306302.0,457448.0,,银行,北京,5.84,2940.55,3499.83,2270032384.0,0.0,14925000.0,17354900.0,0.5,0.51,4.43,0.86,20100715.0,64398004.0,1.84,12.01,7.25,0.0,37.51,420605.0
