name,net_profits_2016_2,net_profits_2016_3,net_profits_2016_4,net_profits_2017_1,net_profits_2017_2,net_profits_2017_3,net_profits_2017_4,net_profits_2018_1,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
数源科技,16.2754,22.648000000000003,21.443,5.1506,19.5695,27.2206,30.5248,5.7653,综合类,浙江,107.14,3.11,3.12,376438.78,302609.0,1981.5,47205.76,1.51,0.018000000000000002,3.33,2.38,19990507.0,22165.71,0.71,28.42,11.93,9.35,1.86,32651.0
大冷股份,67.4873,131.7516,178.6327,33.2975,98.2602,145.3335,200.7598,25.5934,机械基件,辽宁,32.17,5.99,8.55,543087.69,210246.3,88232.5,75728.0,0.89,0.03,3.99,0.97,19931208.0,77599.11,0.91,2.09,-26.83,17.72,4.97,41711.0
特尔佳,7.8294,11.8216,7.9828,-1.5719,1.3951,11.1708,10.1277,-0.8774,汽车配件,深圳,0.0,1.97,2.06,42641.35,33825.34,7485.93,77.23,0.0,-0.004,1.77,7.4,20080201.0,13249.37,0.64,30.56,44.19,36.2,-4.8,7485.0
方正电机,49.0562,71.7646,118.2902,21.8146,56.8688,86.3745,132.2959,18.6126,纺织机械,浙江,43.73,3.12,4.51,327329.34,139510.2,48526.46,169044.94,3.75,0.040999999999999995,5.51,1.31,20071212.0,34382.21,0.76,29.48,-14.68,19.37,5.71,35909.0
七一二,28.9225,29.1238,158.8206,-5.7926,52.821999999999996,76.8542,194.2322,,通信设备,天津,1659.52,1.0,7.72,382116.0,313140.72,56179.35,93482.92,1.21,0.004,2.66,10.19,20180226.0,30607.75,0.4,0.0,0.0,52.21,1.48,71703.0
奥佳华,50.8393,148.3849,251.0305,18.9344,92.2778,210.1864,345.1802,28.4456,医疗保健,福建,112.58,2.89,5.62,500564.94,346244.84,60465.05,118465.52,2.11,0.05,5.21,4.38,20110909.0,117765.76,2.1,33.37,50.23,36.39,2.75,15572.0
南京港,14.7416,21.2308,84.6113,21.0226,46.1718,74.377,106.3295,26.1328,港口,江苏,33.62,3.07,3.72,468781.59,68919.84,229068.7,165035.59,4.43,0.07,6.55,1.44,20050325.0,35509.8,0.95,8.46,24.31,46.99,16.41,32030.0
营口港,220.8121,353.2414,491.5756,167.1399,254.6819,406.3801,535.1638,192.7947,港口,辽宁,19.39,64.73,64.73,1582349.63,329606.25,1028195.81,153704.55,0.24,0.03,1.7,1.36,20020131.0,241622.45,0.37,15.63,15.35,30.92,17.09,158528.0
复旦复华,23.2237,38.1727,38.155,9.3544,18.4168,27.7078,42.475,9.8117,综合类,上海,93.17,6.85,6.85,245890.16,149169.06,35517.62,17256.49,0.25,0.013999999999999999,1.65,3.24,19930105.0,26325.91,0.38,36.96,4.89,51.37,4.23,69587.0
花园生物,15.7295,26.6253,43.7728,20.5373,75.1889,103.1518,130.4033,121.8986,食品,浙江,18.53,4.3,4.79,154868.13,104422.75,39265.53,44697.35,0.93,0.254,2.93,6.44,20141009.0,70836.67,1.48,171.66,493.55,68.54,51.76,21700.0
兰太实业,42.468,60.3231,83.2795,56.3413,116.2748,191.1817,210.4789,75.58,化工原料,内蒙,11.11,4.38,4.38,690777.75,179942.38,383840.47,101849.43,2.33,0.17300000000000001,5.2,1.48,20001222.0,70801.74,1.62,25.56,34.15,37.16,8.16,39136.0
联创互联,84.4903,160.9966,201.4022,23.2783,130.4054,228.7571,371.5199,28.6212,互联网,山东,50.9,3.75,5.9,592159.69,236407.27,15143.05,307553.91,5.21,0.048,7.4,1.33,20120801.0,68246.11,1.16,44.84,22.95,18.3,4.89,25249.0
腾达建设,44.3673,60.1279,84.4741,35.4493,85.0201,138.2041,143.5795,-137.2082,建筑施工,浙江,0.0,15.37,15.99,1082980.38,790523.31,15671.02,257474.25,1.61,-0.086,2.87,0.88,20021226.0,23222.65,0.15,-10.88,-487.05,11.35,-23.07,67443.0
华宏科技,32.8344,48.9748,63.0261,12.2986,39.542,87.5284,123.8979,29.7418,专用机械,江苏,35.23,2.53,3.56,241402.59,130924.17,36756.15,107329.63,3.01,0.084,4.79,2.46,20111220.0,37933.1,1.07,30.66,141.83,23.6,9.0,14100.0
酒鬼酒,38.7477,65.5165,108.5844,37.0288,82.7714,116.4059,176.0987,62.5355,白酒,湖南,31.37,3.25,3.25,256471.95,188809.11,39844.53,116125.95,3.57,0.192,6.22,3.89,19970718.0,31990.75,0.98,46.12,68.88,80.86,23.57,67524.0
天地科技,289.0804,364.6368,931.8796,11.5551,335.2697,458.8265,942.0064,49.3327,工程机械,北京,74.24,41.39,41.39,3604440.5,2628064.75,410901.53,128100.95,0.31,0.012,3.63,0.97,20020515.0,917056.38,2.22,46.58,326.93,28.66,1.66,57409.0
