name,roe2016_2,roe2016_3,roe2016_4,roe2017_1,roe2017_2,roe2017_3,roe2017_4,roe2018_1,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
亚太科技,5.14,7.02,10.05,2.34,4.91,6.9,6.51,1.74,铝,江苏,20.5,7.05,12.71,512482.81,358961.69,108029.22,194833.11,1.53,0.065,3.76,1.42,20110118.0,139296.2,1.1,9.26,16.73,19.5,9.82,69070.0
永利股份,5.14,3.86,6.11,2.75,5.67,8.22,10.76,1.87,塑料,上海,20.0,5.4,8.16,427661.44,238952.97,56360.69,159644.38,1.96,0.063,3.35,1.5,20110615.0,69917.46,0.86,6.58,-27.76,29.41,7.47,20218.0
恒顺醋业,5.14,7.7,10.84,2.75,5.81,8.7,15.6,3.18,食品,江苏,33.19,7.84,7.84,264329.66,104995.92,93316.65,47033.07,0.6,0.076,2.37,4.23,20010206.0,67993.43,0.87,8.21,32.96,40.24,14.83,36035.0
福成股份,5.13,8.58,10.53,1.39,3.71,6.57,8.44,1.91,农业综合,河北,61.66,8.19,8.19,245133.38,143125.02,55215.32,29767.09,0.36,0.044000000000000004,2.3,4.75,20040713.0,71210.11,0.87,17.65,46.46,32.16,10.27,21806.0
美力科技,5.13,8.06,13.04,1.82,3.31,4.97,7.05,1.25,机械基件,浙江,65.01,0.68,1.79,99300.36,57845.26,29524.45,27514.13,1.54,0.048,3.82,3.26,20170220.0,20661.75,1.15,13.51,-28.53,31.07,7.81,15930.0
全聚德,5.12,9.01,9.64,2.39,5.29,8.86,9.0,2.4,酒店餐饮,北京,29.72,3.06,3.08,204163.81,119256.76,55164.61,53977.07,1.75,0.121,5.02,2.86,20071120.0,55545.73,1.8,1.51,4.64,59.6,8.39,23922.0
光明乳业,5.12,8.67,11.27,3.6,7.0,10.42,11.51,2.39,乳制品,上海,23.44,12.24,12.24,1654606.25,783259.0,594851.44,170846.55,1.4,0.109,4.55,2.25,20020828.0,213607.95,1.74,-4.98,-28.55,34.3,2.62,47115.0
中原内配,5.11,7.73,9.83,2.67,5.86,9.06,11.64,2.02,汽车配件,河南,21.33,4.59,6.07,378376.84,153364.81,94798.57,62378.8,1.03,0.08199999999999999,4.03,1.73,20100716.0,118848.32,1.96,13.3,-17.31,41.98,13.04,75439.0
协鑫集成,5.11,5.52,-0.64,-3.11,0.57,1.15,0.57,-3.62,电气设备,上海,0.0,25.24,50.62,2080641.63,1641815.88,218911.66,266304.31,0.53,-0.03,0.8,5.79,20101118.0,-373308.81,-0.74,-18.38,-16.91,12.03,-7.26,159620.0
鹏辉能源,5.1,9.64,14.59,1.64,5.05,9.82,12.48,3.58,电气设备,广东,19.31,2.15,2.81,391317.25,281106.72,69914.93,109032.22,3.88,0.263,7.34,2.77,20150424.0,69967.84,2.49,32.93,143.59,22.26,19.03,20720.0
