序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价,2018_profit,2017_profit,2016_profit,2015_profit,2014_profit
1163,00705,鼎和矿业,0.03,0.0,0.0,0.0,--,--,0.032,0.0,0.0,0.0,0,0,131百万港币,-59.57百万港币,-55.07百万港币
1164,06190,九江银行,10.6,0.0,0.0,0.02,8.66万,9.51,10.6,10.6,10.6,10.52,0,0,0,0,0
1165,00707,亚洲电视控股,0.27,0.0,0.0,0.36,2512.00万,--,0.265,0.26,0.275,0.26,0,-119百万人民币,31.09百万人民币,-5.01百万人民币,23.26百万人民币
1166,06196,郑州银行,4.21,0.0,0.0,0.0,6.00万,4.39,4.21,4.09,4.21,4.07,0,10213百万人民币,9980百万人民币,7861百万人民币,0
1167,00250,中国数码信息,0.09,0.0,0.0,0.01,213.00万,153.33,0.092,0.092,0.09300000000000001,0.091,0,24.83百万港币,61.07百万港币,59.84百万港币,-104百万港币
1168,00253,顺豪控股,2.59,0.0,0.0,0.0,--,1.54,2.59,0.0,0.0,0.0,0,892百万港币,458百万港币,247百万港币,958百万港币
1169,00535,金地商置,0.79,0.0,0.0,0.05,860.40万,6.34,0.79,0.79,0.81,0.76,0,2752百万人民币,3833百万人民币,2256百万人民币,945百万人民币
1170,03686,祈福生活服务,0.57,0.0,0.0,0.3,309.00万,8.49,0.57,0.56,0.57,0.55,0,84.22百万人民币,41.3百万人民币,0,0
1171,00988,丝路物流控股,0.13,0.0,0.0,0.0,9.90万,0.91,0.127,0.127,0.127,0.127,0,-29.75百万港币,-641百万港币,-1115百万港币,-64.37百万港币
1172,00221,易易壹金融,0.51,0.0,0.0,0.34,187.67万,--,0.51,0.495,0.51,0.49,-166百万港币,-148百万港币,82.84百万港币,224百万港币,0
1173,06888,英达公路再生科技,0.36,0.0,0.0,0.0,1.00万,--,0.36,0.36,0.36,0.36,0,-272百万港币,55.11百万港币,77.62百万港币,65.52百万港币
1174,03728,正利控股,0.33,0.0,0.0,0.03,28.00万,16.50,0.325,0.325,0.325,0.32,24.94百万港币,31.14百万港币,26.27百万港币,0,0
1175,01116,MayerHoldings,0.12,0.0,0.0,0.0,--,--,0.12300000000000001,0.0,0.0,0.0,0,-8.59百万人民币,27.41百万人民币,-5.27百万人民币,-10.94百万人民币
1176,01013,伟俊集团控股,0.05,0.0,0.0,0.0,1.60万,--,0.048,0.048,0.048,0.045,-39.98百万港币,-61百万港币,-61.71百万港币,-34.34百万港币,0
1177,00560,珠江船务,1.87,0.0,0.0,0.01,5.80万,7.58,1.87,1.87,1.87,1.86,0,237百万港币,279百万港币,199百万港币,209百万港币
1178,01110,金活医药集团,1.1,0.0,0.0,0.05,29.20万,11.19,1.1,1.1,1.1,1.1,0,95.7百万人民币,95.72百万人民币,49.15百万人民币,49.3百万人民币
1179,01063,新确科技,0.02,0.0,0.0,0.05,707.00万,--,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.017,0,-217百万港币,-52.22百万港币,50.92百万港币,-32.61百万港币
1180,01118,高力集团,0.87,0.0,0.0,0.0,--,11.52,0.87,0.0,0.0,0.0,0,69.17百万港币,111百万港币,125百万港币,142百万港币
1181,01120,雅视光学,2.07,0.0,0.0,0.0,--,--,2.07,0.0,0.0,0.0,0,-658百万港币,844百万港币,-36百万港币,-94.12百万港币
1182,01062,国开国际投资,0.23,0.0,0.0,0.01,23.00万,3.71,0.226,0.218,0.226,0.21600000000000003,0,178百万港币,81.27百万港币,118百万港币,48.95百万港币
1183,01017,STOCK1017,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0,0,0,0,0
1184,01018,STOCK1018,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0,0,0,0,0
1185,00996,嘉年华国际,0.32,0.0,0.0,0.03,745.00万,16.00,0.32,0.315,0.32,0.315,0,746百万港币,50.39百万港币,95.73百万港币,139百万港币
1186,01016,STOCK1016,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0,0,0,0,0
1187,03329,交银国际,1.76,0.0,0.0,0.13,344.56万,11.00,1.76,1.77,1.79,1.75,0,435百万港币,0,0,0
1188,01015,STOCK1015,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0,0,0,0,0
