序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价,2018_profit,2017_profit,2016_profit,2015_profit,2014_profit
270,02368,鹰美,3.79,1.88,0.07,0.07,35.40万,8.24,3.72,3.69,3.79,3.68,274百万,185百万,152百万,130百万,0
271,01194,麦盛资本,0.28,1.85,0.01,0.13,109.85万,--,0.27,0.27,0.28,0.265,0,53.13百万,-8.9百万,212百万,494百万
272,01752,澳洲成峰高教,0.55,1.85,0.01,0.24,618.00万,35.29,0.54,0.55,0.56,0.52,0,0,0,0,0
273,00256,冠城钟表珠宝,1.66,1.84,0.03,0.09,396.00万,6.17,1.63,1.62,1.67,1.62,0,1433百万,160百万,473百万,284百万
274,03908,中金公司,13.3,1.84,0.24,0.28,490.31万,14.78,13.06,12.94,13.3,12.7,0,3531百万,2274百万,2517百万,0
275,02202,万科企业,25.05,1.83,0.45,0.69,902.74万,61.87,24.6,25.0,25.2,23.85,0,64173百万,46848百万,39903百万,29490百万
276,00322,康师傅控股,17.86,1.82,0.32,0.1,534.95万,28.18,17.54,17.86,18.08,17.64,0,3393百万,372百万,471百万,694百万
277,06898,中国铝罐,1.12,1.82,0.02,0.02,12.80万,12.17,1.1,1.13,1.13,1.12,0,78.55百万,123百万,97.45百万,34.03百万
278,00079,世纪建业,0.56,1.82,0.01,0.04,12.40万,16.09,0.55,0.5,0.56,0.5,0,11.56百万,-25.97百万,-18.04百万,15.36百万
279,01543,中盈盛达融资担保,1.68,1.82,0.03,0.0,2.00万,14.01,1.65,1.68,1.7,1.68,0,,,,0
280,00837,谭木匠,5.04,1.82,0.09,0.05,13.05万,8.72,4.95,5.03,5.06,5.01,0,157百万,144百万,152百万,166百万
281,01208,五矿资源,4.51,1.81,0.08,0.19,1563.98万,31.20,4.43,4.44,4.51,4.25,0,1277百万,265百万,-1126百万,244百万
282,01962,训修实业,1.7,1.8,0.03,0.06,38.40万,7.08,1.67,1.67,1.7,1.67,0,110百万,0,0,0
283,00669,创科实业,42.8,1.78,0.75,0.21,390.27万,21.35,42.05,42.0,43.05,41.45,0,505百万,440百万,387百万,325百万
284,00503,朗生医药,1.15,1.77,0.02,0.1,42.50万,3.87,1.13,1.13,1.15,1.1,0,9.46百万,9.19百万,13.82百万,18.92百万
285,00554,汉思能源,0.23,1.77,0.0,0.03,113.00万,2300.00,0.226,0.226,0.23,0.226,0,49.36百万,-16.12百万,-26.88百万,-36.33百万
286,03323,中国建材,7.51,1.76,0.13,1.02,3957.88万,13.95,7.38,7.38,7.59,7.08,0,9563百万,4060百万,4105百万,11553百万
287,01222,WangOnGroup,0.12,1.75,0.0,0.95,1.80亿,1.78,0.114,0.114,0.11599999999999999,0.11199999999999999,1835百万,360百万,445百万,700百万,0
288,01522,京投交通科技,0.58,1.75,0.01,0.0,2.80万,32.22,0.57,0.55,0.58,0.55,0,40.09百万,29.8百万,32.13百万,101百万
289,00992,联想集团,4.1,1.74,0.07,0.32,3585.51万,--,4.03,4.05,4.1,3.97,387百万,672百万,-61.82百万,1109百万,0
290,02678,天虹纺织,11.8,1.72,0.2,0.07,68.23万,7.81,11.6,11.6,11.9,11.38,0,1451百万,1890百万,1150百万,600百万
291,01778,彩生活,8.26,1.72,0.14,0.29,381.20万,21.40,8.12,8.1,8.3,7.72,0,457百万,298百万,252百万,212百万
292,01027,中国集成控股,0.06,1.72,0.0,0.01,37.50万,54.68,0.057999999999999996,0.057999999999999996,0.06,0.057,0,6.71百万,13.51百万,50.03百万,102百万
293,00025,ChevalierInt'l,11.9,1.71,0.2,0.01,1.95万,3.95,11.7,12.1,12.1,11.8,1341百万,734百万,453百万,1585百万,0
294,00236,香港生力啤,1.19,1.71,0.02,0.01,4.04万,39.67,1.17,1.17,1.2,1.17,0,20.69百万,11.51百万,-11.56百万,41.64百万
