,code,name,roe_2017_1,roe_2017_2,roe_2017_3,roe_2017_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
233,002142,宁波银行,4.57,8.94,13.66,16.34,银行,浙江,9.91,44.91,50.7,103204248.0,0.0,481095.91,877990.63,1.73,1.8,10.31,1.77,20070719,2587805.25,5.1,7.06,19.5,0.0,36.87,66000.0
234,002146,荣盛发展,1.89,7.13,11.3,,全国地产,河北,11.24,38.9,43.48,17581722.0,16317646.0,170854.56,460333.56,1.06,0.642,5.68,1.69,20070808,1210621.75,2.78,15.9,28.34,28.51,12.87,122591.0
235,002153,石基信息,1.24,3.59,5.38,,软件服务,北京,81.17,4.84,10.67,624929.69,355845.25,33730.09,163874.5,1.54,0.261,4.85,5.83,20070813,246502.38,2.31,19.3,5.23,44.95,14.17,23529.0
236,002174,游族网络,7.04,11.19,14.49,16.19,互联网,福建,28.92,5.77,8.88,663594.75,313398.53,69906.0,93032.38,1.05,0.76,4.56,4.68,20070925,219884.0,2.47,27.89,11.57,52.17,20.27,39600.0
237,002202,金风科技,0.89,5.5,10.59,13.46,电气设备,新疆,20.14,28.05,35.56,7278784.0,3308132.75,1807967.63,817518.25,2.3,0.84,5.96,2.9,20071226,809199.63,2.28,-4.8,1.72,30.24,12.16,104500.0
238,002230,科大讯飞,0.99,1.31,2.04,5.63,软件服务,安徽,183.0,11.97,13.89,1334033.63,724259.19,145383.77,525403.69,3.78,0.33,5.56,10.31,20080512,181093.48,1.3,63.97,-10.27,51.38,7.98,238700.0
239,002236,大华股份,3.36,10.83,15.15,22.72,电器仪表,浙江,29.73,17.02,28.99,2133347.75,1755631.63,124830.51,59334.06,0.2,0.821,3.61,6.76,20080520,599613.0,2.07,41.38,30.33,38.23,12.62,50500.0
240,002241,歌尔股份,2.66,5.25,9.72,14.36,元器件,山东,20.42,27.23,32.45,2657059.25,1324627.63,956707.63,295070.09,0.91,0.68,4.59,2.93,20080522,785347.69,2.42,32.4,29.53,22.01,8.38,115894.0
241,002252,上海莱士,1.85,5.75,7.49,,生物制药,上海,77.54,49.73,49.75,1419718.88,678181.25,104488.68,304223.31,0.61,0.19,2.52,7.74,20080623,423609.91,0.85,-9.23,-23.78,63.62,64.06,39275.0
242,002292,奥飞娱乐,0.94,2.78,6.3,,影视音像,广东,39.37,7.63,13.57,859855.19,322005.69,33046.43,146001.94,1.08,0.24,3.83,3.19,20090910,206053.41,1.52,5.75,-27.96,49.27,11.92,97783.0
243,002294,信立泰,6.56,13.63,19.13,23.98,化学制药,深圳,29.68,10.46,10.46,686438.19,371643.72,111724.52,16109.25,0.15,1.3880000000000001,5.79,7.12,20090910,432497.56,4.13,8.35,3.97,81.1,34.95,31030.0
244,002304,洋河股份,9.52,14.58,19.6,,白酒,江苏,22.25,12.4,15.07,3955368.0,2526792.25,784142.25,74170.4,0.49,3.7039999999999997,18.89,5.82,20091106,2546643.0,16.9,15.08,15.34,62.25,33.07,20791.0
245,002310,东方园林,-0.38,4.87,8.67,,建筑施工,北京,45.35,16.23,26.83,2945561.75,2063992.38,93404.05,177141.97,0.66,0.32,3.73,5.24,20091127,510227.84,1.9,72.29,67.64,29.93,10.03,57451.0
246,002352,顺丰控股,3.62,8.61,11.6,14.59,仓储物流,安徽,45.05,8.92,44.14,5766016.5,3148962.0,1189495.75,1587295.13,3.6,1.12,7.41,6.57,20100205,1149477.0,2.6,23.68,14.12,20.07,6.71,55700.0
247,002385,大北农,2.06,5.59,8.65,12.38,饲料,北京,19.89,22.65,42.43,1925782.25,911319.69,461075.94,141169.77,0.33,0.31,2.41,2.46,20100409,470411.56,1.11,11.29,43.34,24.17,6.75,108700.0
248,002411,必康股份,1.95,5.27,7.04,,化学制药,江苏,48.12,2.87,15.32,2002614.75,777911.94,122185.02,489595.06,3.2,0.405,5.75,4.52,20100525,174530.38,1.14,23.75,-9.96,37.22,18.86,15444.0
249,002415,海康威视,5.73,13.68,22.85,,电器仪表,浙江,45.77,79.07,92.27,4430441.0,3849100.5,292851.56,177044.52,0.19,0.667,3.29,12.37,20100528,1420472.13,1.54,31.14,26.82,44.18,22.19,127510.0
250,002424,贵州百灵,4.39,7.58,10.65,15.38,中成药,贵州,38.46,7.32,14.11,482267.09,364947.47,69626.21,13592.17,0.1,0.373,2.42,5.92,20100603,161750.3,1.15,17.05,9.08,63.27,20.3,71267.0
251,002426,胜利精密,1.66,3.73,4.52,5.27,元器件,江苏,36.03,20.88,34.42,1849295.38,1084540.0,398281.41,382243.31,1.11,0.14,2.56,1.89,20100608,140573.59,0.41,18.08,7.65,10.75,2.9,70600.0
252,002450,康得新,3.35,7.53,10.82,,化工原料,江苏,27.9,28.86,35.34,3375850.5,2680999.5,315808.66,678168.88,1.92,0.532,4.91,4.02,20100716,648721.31,1.84,32.05,32.86,37.92,19.89,90567.0
253,002456,欧菲科技,2.31,7.23,11.39,,元器件,深圳,37.53,26.57,27.14,3128681.75,1924986.0,767269.88,295511.72,1.09,0.376,3.3,5.7,20100803,350276.44,1.29,28.69,80.3,12.59,4.18,79494.0
254,002460,赣锋锂业,5.21,22.46,33.08,36.38,小金属,江西,35.17,5.24,7.41,799910.0,456768.09,79526.06,114040.47,1.54,1.982,5.45,12.8,20100810,194919.66,2.63,54.12,216.36,40.47,33.51,108450.0
255,002465,海格通信,0.26,1.73,2.21,3.59,通信设备,广东,87.17,18.77,23.07,1183456.5,729822.81,135961.2,381998.91,1.66,0.127,3.53,3.14,20100831,170572.16,0.74,-18.61,-44.68,40.0,8.75,120100.0
256,002466,天齐锂业,7.73,16.75,22.58,23.65,小金属,四川,29.05,11.36,11.42,1783985.75,786514.19,146658.05,418974.38,3.67,1.94,9.12,5.98,20100831,361620.06,3.17,40.09,41.86,70.14,39.21,126492.0
257,002468,申通快递,5.59,12.36,17.56,,仓储物流,浙江,24.44,3.32,15.31,786302.06,533113.25,77373.78,321889.53,2.1,0.736,4.19,5.72,20100908,262437.06,1.71,25.99,24.09,19.61,13.16,36331.0
258,002470,金正大,4.41,8.38,9.43,,农药化肥,山东,23.38,27.27,31.58,2053058.0,1258981.0,441084.56,116879.88,0.37,0.29,3.06,2.93,20100908,494549.25,1.57,8.62,-19.48,15.47,4.8,48855.0
259,002475,立讯精密,2.6,5.7,8.91,,元器件,深圳,51.41,31.62,31.73,2417419.25,1541855.88,536316.94,455836.19,1.44,0.341,4.02,5.82,20100915,426315.75,1.34,65.14,58.98,21.87,7.79,28845.0
260,002500,山西证券,1.12,1.93,3.04,3.27,证券,山西,55.9,28.29,28.29,5165085.5,0.0,39998.09,671329.63,2.37,0.145,4.42,1.83,20101115,141649.06,0.5,87.28,-12.57,0.0,9.31,169600.0
261,002508,老板电器,5.71,13.6,20.18,,家用电器,浙江,26.31,9.35,9.49,785402.75,657878.06,82814.74,39765.26,0.42,1.012,5.01,7.08,20101123,297628.31,3.14,25.15,36.95,56.07,19.26,28077.0
262,002555,三七互娱,8.73,13.67,18.37,,互联网,安徽,21.48,11.67,21.48,873319.5,284776.44,26405.72,195185.88,0.91,0.57,3.07,5.26,20110302,241642.75,1.12,21.73,61.04,68.69,27.13,40126.0
263,002558,巨人网络,4.29,8.8,12.55,,互联网,重庆,45.11,3.48,20.24,947640.31,761935.38,43946.87,399502.47,1.97,0.515,4.1,7.55,20110302,268685.66,1.33,22.79,30.97,82.45,50.92,22093.0
264,002572,索菲亚,1.94,7.62,13.9,20.27,家居用品,广东,33.52,6.2,9.23,705994.69,360206.03,218466.17,147929.02,1.6,0.982,4.84,6.8,20110412,182746.52,1.98,36.02,36.56,38.17,14.72,17000.0
265,002594,比亚迪,1.16,3.27,5.15,7.39,汽车整车,深圳,37.8,11.38,27.28,17809944.0,10268439.0,4324481.5,2447429.25,8.97,1.4,18.73,3.01,20110630,1923592.38,7.05,2.36,-19.51,19.01,3.84,100057.0
